natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;grunntypeNavn;grunntypeKode
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;epipelagiale kystvannmasser;NA H1-5
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;abyssopelagiale havvannmasser;NA H1-4
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;bathypelagiale havvannmasser;NA H1-3
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;mesopelagiale havvannmasser;NA H1-2
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;epipelagiale havvannmasser;NA H1-1
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;middels stor eller liten brakkvannspoll;NA H2-8
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;stor brakkvannspoll;NA H2-7
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;temporært litoralbasseng;NA H2-6
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;lite litoralbasseng;NA H2-5
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;stort litoralbasseng;NA H2-4
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;middels stor eller liten poll;NA H2-3
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;stor poll;NA H2-2
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;fjord;NA H2-1
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;nye marine vannmasser;NA H4-4
