natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;miljovariabelType;miljovariabelHovedtype;miljovariabelKode;miljovariabelNavn;trinnKode;trinnNavn;basistrinnNavn
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_4;;DM-e
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_4;;DM-f
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_3;;DM-b
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_3;;DM-c
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_3;;DM-d
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_2;;DM-a
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;DM;Dybderelatert miljøstabilisering;H1-DM_1;;DM-0
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;KY;Kysttilknytning;H1-KY_2;;KY-a
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;KY;Kysttilknytning;H1-KY_1;;KY-0
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_2;litt til disruptivt jordvarmeinfluert;JV-b
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_2;litt til disruptivt jordvarmeinfluert;JV-c
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_2;litt til disruptivt jordvarmeinfluert;JV-d
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_2;litt til disruptivt jordvarmeinfluert;JV-e
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_2;litt til disruptivt jordvarmeinfluert;JV-¤
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_1;ikke eller observerbart jordvarmeinfluert;JV-0
Natursystem;NA;Marine vannmasser;NA H;Havvannmasser;NA H1;Miljøvariabel;NA H1;JV;Jordvarmeinnflytelse;H1-JV_1;ikke eller observerbart jordvarmeinfluert;JV-a
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_5;;SM-i
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_4;;SM-g
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_4;;SM-h
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_3;;SM-d
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_3;;SM-e
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_3;;SM-f
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_2;;SM-b
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_2;;SM-c
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H2-SM_1;;SM-a
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_1;;SA-a
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_1;;SA-b
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_1;;SA-c
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_2;;SA-d
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_2;;SA-e
Natursystem;NA;Marine vannmasser;NA H;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster;NA H2;Miljøvariabel;NA H2;SA;Marin salinitet;H2-SA_2;;SA-f
Natursystem;NA;Marine vannmasser;NA H;Ikke-sirkulerende marine vannmasser i fysisk avgrensete saltvannsforekomster;NA H3;Miljøvariabel;NA H3;OM;Oksygenmangel;H3-OM_2;;
Natursystem;NA;Marine vannmasser;NA H;Ikke-sirkulerende marine vannmasser i fysisk avgrensete saltvannsforekomster;NA H3;Miljøvariabel;NA H3;OM;Oksygenmangel;H3-OM_1;;OM-¤
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SY;Sterk endring av vannmasser;H4-SY_4;;SY-D
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SY;Sterk endring av vannmasser;H4-SY_3;;SY-C
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SY;Sterk endring av vannmasser;H4-SY_2;;SY-B
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SY;Sterk endring av vannmasser;H4-SY_1;;SY-A
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_2;(litoral)basseng;SM-g
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_2;(litoral)basseng;SM-h
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_2;(litoral)basseng;SM-i
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-a
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-b
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-c
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-d
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-e
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SM;Størrelsesrelatert miljøvariabilitet (i vannsystemer);H4-SM_1;fjord eller poll;SM-f
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_2;salt;SA-d
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_2;salt;SA-e
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_2;salt;SA-f
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_1;brakt;SA-a
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_1;brakt;SA-b
Natursystem;NA;Marine vannmasser;NA H;Sterkt endrete marine vannmasser;NA H4;Miljøvariabel;NA H4;SA;Marin salinitet;H4-SA_1;brakt;SA-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VR;Vannpåvirkningsregime;M1-VR_1;bølgepåvirkning;VR-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VR;Vannpåvirkningsregime;M1-VR_2;tidevannsstrøm;VR-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VF;Vannpåvirkningsintensitet;M1-VF_1;;VF-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VF;Vannpåvirkningsintensitet;M1-VF_1;;VF-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VF;Vannpåvirkningsintensitet;M1-VF_1;;VF-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VF;Vannpåvirkningsintensitet;M1-VF_2;;VF-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;VF;Vannpåvirkningsintensitet;M1-VF_2;;VF-c
