HTK;Navn;PrK;PrK-tekst;GrL;Definisjonsgrunnlag-tekst;dLKM;hLKM;tLKM;uLKM;Kunnskapsgrunnlag - Hovedtypen generelt;Kunnskapsgrunnlag - Grunntypeinndelingen
M1;Eufotisk fast saltvannsbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;VF,DL,SA;HF,S1,IF;VR,RU ;3;2
M2;Afotisk fast saltvannsbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;DM,VF;HF,BK;SA,S1,RU;1;2
M3;Fast fjærebeltebunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;VF,TV,SA ;HF,IF ;S1,VR,RU;3;3
M4;Eufotisk marin sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;S3 ;DL,SA,IO,KA,SE ;;2;2
M5;Afotisk marin sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;S3,DM ;IO ;VF;2;2
M6;Korallrev-bunn;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;;;DM ;LK;4;3
M7;Marin undervannseng;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;;;SA,TV ;S3;4;3
M8;Helofytt-saltvannsump;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A ;normal, strukturerende artsgruppe;;;;SA,IO,TV ;2;2
M9;Littoralbasseng-bunn;3;Preget av miljøstress;S;miljøstressbetinget;SM ;SM,TV ;SE;;2;2
M10;Marin grotte og overheng;3;Preget av miljøstress;S;miljøstressbetinget;GS;DL ;GS ;;1;2
M11;Kaldt gassoppkomme;3;Preget av miljøstress;S;miljøstressbetinget;KI;DM ;KI,KT ;;1;1
M12;Varm havkilde;3;Preget av miljøstress;S ;miljøstressbetinget;KI,JV ;JV,DM;;;1;1
M13;Marin sedimentbunn preget av oksygenmangel;3;Preget av miljøstress;S;miljøstressbetinget;OM;;OM,DL;;2;3
M14;Sterkt endret eller ny fast saltvannsbunn;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;SX;DL ;;VF,SA;1;1
M15;Sterkt endret eller ny marin sedimentbunn ;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;SX;;S3,HS;DL,SA;2;1
T1;Nakent berg;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0L;normal, ikke jorddekt;;KA,UE,OR ;HF,VF,VS,LA,NG,VI,SV ;IF,BK;3;2
T2;Åpen grunnlendt mark ;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;KA ;UF ;VM,BK,HI;2;3
T3;Fjellhei, leside og tundra;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;;KA,UF ;KI ;BK,HI,RU,VM;4;4
T4;Fastmarksskogsmark;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;;UF,KA ;KI ;BK,HI,SU,RU,SS,S1,VM,VS,UE;4;3
T5;Grotte og overheng;3;Preget av miljøstress;SL ;miljøstressbetinget, ikke jorddekt;GS;GS,KA ;UE ;BK,LA;1;2
T6;Strandberg;3;Preget av miljøstress;SL ;miljøstressbetinget, ikke jorddekt;TV,SA ;TV ;KA,VF,HF,IF;;3;2
T7;Snøleie;3;Preget av miljøstress;S;miljøstressbetinget;SV ;KA,SV ;KI ;VM,HI,S1;4;4
T8;Fuglefjell-eng og fugletopp;3;Preget av miljøstress;S;miljøstressbetinget;NG;NG ;KI,UF ;KA,HI ;3;3
T9;Mosetundra;3;Preget av miljøstress;S ;miljøstressbetinget;NG,PF,IO;;KA ;VM;2;1
