Grunntype_kode;Basistrinn_csv
NA-M1-1;SA-def, HF-0ab, VF-0ab, DL-abc
NA-M1-2;SA-def, HF-0ab, VF-cdef, DL-a
NA-M1-3;SA-def, HF-0ab, VF-cd, DL-bc
NA-M1-4;SA-def, HF-0ab, VF-cd, DL-d
NA-M1-5;SA-def, HF-0ab, VF-cd, DL-bc
NA-M1-6;SA-def, HF-0ab, VF-cd, DL-d
NA-M1-7;SA-def, HF-0ab, VF-gh, DL-abcd
NA-M1-8;SA-bc, HF-0ab, VF-0ab, DL-bcd
NA-M1-9;SA-bc, HF-0ab, VF-cdef, DL-a
NA-M1-10;SA-bc, HF-0ab, VF-cd, DL-bc
NA-M1-11;SA-bc, HF-0ab, VF-cd, DL-d
NA-M1-12;SA-bc, HF-0ab, VF-cd, DL-bc
NA-M1-13;SA-bc, HF-0ab, VF-cd, DL-d
NA-M1-14;SA-a, HF-0ab, VF-0ab, DL-bcd
NA-M1-15;SA-a, HF-0ab, VF-cdef, DL-bcd*
NA-M1-16;SA-def, HF-+, VF-0ab, DL-bcd
NA-M1-17;SA-def, HF-+, VF-cdef, DL-a
NA-M1-18;SA-def, HF-+, VF-cdef, DL-bcd
NA-M1-19;SA-def, HF-+, VF-gh, DL-a-d
NA-M1-20;SA-bc, HF-+, VF-0ab, DL-bcd
NA-M1-21;SA-bc, HF-+, VF-cdef, DL-a
NA-M1-22;SA-bc, HF-+, VF-cdef, DL-bcd
NA-M1-23;SA-a, HF-+, VF-0ab-ef, DL-bcd*
NA-M1-24;S1-b, SA-def, HF-+, VF-0ab, DL-bcd
NA-M1-25;S1-b, SA-def, HF-+, VF-cdef, DL-a
NA-M1-26;S1-b, SA-def, HF-+, VF-cdef, DL-bcd
NA-M1-27;S1-b, SA-def, HF-+, VF-gh, DL-a-d
NA-M1-28;S1-b, SA-bc, HF-+, VF-cdef, DL-a
NA-M1-29;IF-¤, VF-0abcdefgh, DL-a-d
NA-M2-1;HF-0ab, DM-0, VF-a
NA-M2-2;HF-0ab, DM-a, VF-a
NA-M2-3;HF-0ab, DM-b, VF-a
NA-M2-4;HF-0ab, DM-cd, VF-a
NA-M2-5;HF-0ab, DM-ef, VF-a
NA-M2-6;HF-0ab, DM-0, VF-bc
NA-M2-7;HF-0ab, DM-a, VF-bc
NA-M2-8;HF-0ab, DM-b, VF-bc
NA-M2-9;HF-0ab, DM-cd, VF-bc
NA-M2-10;HF-0ab, DM-ef, VF-bc
NA-M2-11;HF-0ab, DM-a, VF-bc, BK-a
NA-M2-12;HF-0ab, DM-ef, VF-bc, BK-a
NA-M2-13;HF-+, DM-0, VF-a
NA-M2-14;HF-+, DM-0, VF-bc
NA-M2-15;HF-+, DM-a, VF-a
NA-M2-16;HF-+, DM-a, VF-bc
NA-M2-17;HF-+, DM-b, VF-a
NA-M2-18;HF-+, DM-b, VF-bc
NA-M2-19;HF-+, DM-cd, VF-abc
NA-M2-20;HF-+, DM-ef, VF-abc
NA-M3-1;HF-0ab, SA-def, VF-0ab, TV-ab
NA-M3-2;HF-0ab, SA-def, VF-0ab, TV-cde
NA-M3-3;HF-0ab, SA-def, VF-0ab, TV-fgh
NA-M3-4;HF-0ab, SA-def, VF-cd, TV-ab
NA-M3-5;HF-0ab, SA-def, VF-cd, TV-cde
NA-M3-6;HF-0ab, SA-def, VF-cd, TV-fgh
NA-M3-7;HF-0ab, SA-def, VF-efg, TV-ab
NA-M3-8;HF-0ab, SA-def, VF-efg, TV-cde
NA-M3-9;HF-0ab, SA-def, VF-efg, TV-fgh
NA-M3-10;HF-0ab, SA-def, VF-h, TV-abcdefgh
NA-M3-11;HF-0ab, SA-bc, VF-0abcd, TV-ab
NA-M3-12;HF-0ab, SA-bc, VF-0abcd, TV-cdefgh
NA-M3-13;HF-0ab, SA-a, VF-0abcd, TV-abcdefgh
NA-M3-14;HF-+, SA-def, VF-0ab, TV-ab
NA-M3-15;HF-+, SA-def, VF-0ab, TV-abcd
NA-M3-16;HF-+, SA-def, VF-cd, TV-abcdefgh
NA-M3-17;HF-+, SA-def, VF-efgh, TV-abcdefgh
NA-M3-18;HF-+, SA-acd, VF-0abcd, TV-abcdefgh
NA-M3-19;VF-0abcdefg, TV-abcdefgh, IF-¤
NA-M4-1;DL-abc, SA-de, TV-0, S3-E-ab, S3-F-0a
NA-M4-2;DL-abc, SA-de, TV-0, S3-E-0a, S3-F-¤
NA-M4-3;DL-abc, SA-de, TV-0, S3-E-c, S3-F-0a
NA-M4-4;DL-abc, SA-de, TV-0, S3-E-bc, S3-F-bc
NA-M4-5;DL-abc, SA-de, TV-0, S3-E-bcd, S3-F-¤
NA-M4-6;DL-abc, SA-de, TV-0, S3-E-de, S3-F-0a
NA-M4-7;DL-abc, SA-de, TV-0, S3-E-d, S3-F-bc
NA-M4-8;DL-abc, SA-de, TV-0, S3-E-e, S3-F-¤
NA-M4-9;DL-abc, SA-de, TV-0, S3-E-0a, S3-F-¤, IO-¤
NA-M4-10;DL-abc, SA-de, TV-0, S3-S-a
NA-M4-11;DL-abc, SA-de, TV-0, S3-S-b
NA-M4-12;DL-d, SA-de, S3-E-ab, S3-F-0a
NA-M4-13;DL-d, SA-de, S3-E-0a, S3-F-¤
NA-M4-14;DL-d, SA-de, S3-E-cde, S3-F-0a
NA-M4-15;DL-d, SA-de, S3-E-bcd, S3-F-bc
NA-M4-16;DL-d, SA-de, S3-E-bcd, S3-F-¤
