natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;kartleggingsenhetMalestokk;kartleggingsenhetKode;kartleggingsenhetDef
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-5;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-4;indre del av dyp karstgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-3;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-2;sterkt kalkrike ikke tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-1;kalkfattige til svakt kalkrike tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-7;tørt sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-6;tørt intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-5;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-4;indre del av dyp karstgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-3;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-2;sterkt kalkrike ikke tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-1;kalkfattige til svakt kalkrike tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-6;tørt intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-10;tørt sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-8;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-7;indre del av dyp kartsgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-6;mindre kalkrikt grottedyp
