Versjon;Tidspunkt;Beskrivelse
3.0;20231213;Endepunkt:kodeForGrunntype: Grunntype.Variabeltrinn uten trinn gir Error (feilretting)(prev. #223)
3.0;20231213;Trinn:Stor bokstav i navn (prev. #219)
3.0;20230108;Endpunkt: kodeForKartleggin1gsenhet, http500-feil (prev. #226)
3.0;20230108;Kartleggingsenheter: M020 manglet navn (prev. #240)
3.0;20240226;Endring av kortkoder og langkoder for hovedtyper og grunntyper(prev. #261)
3.0;20240410;Grunntype-variabeltrinn, 2 manglet pga skrivefeil(PD_* endret til PF_*)(prev. #82)
3.0;20240410;Fjernet duplikat trinn KA-a (måleskala: KA-SO/Variabelnavn:LM-KA)(#66)
3.0;20240410;Grunntype-variabeltrinn, skrivefeil varkode2/kobling (Jb_* endret til JP_*)(#76)
3.0;20240410;Grunntype_variabeltrinn, feil trinn-notasjon (19 'nye' trinn) (#64)
3.0;20240415;Variabelnavn-konverteringer som manglet (#89)
3.0;20240415;Feil: konverteringer for variabelnavn, trinn-konverteringer var blandet med variabelnavn (#86)
3.0;20240415;Trinn, alle kortkoder var feil er nå korrigert (#87)
3.0;20240415;Trinn har fått langkode (#85)
3.0;20240425;grunntype-variabeltrinn, korrigering (#91)
3.0;20240425;hovedtype-variabeltrinn, korrigering (#92)
3.0;20240429;Definisjonsgrunnlag grunntype "bP_" leses nå inn som "BP_", varkode2 er kun store bokstaver, berører grunntyper I01-001 til I03-036 (#104)
3.0;20240429;Endringslogg: Fane i rapporter, exceldata (#95)
