GTKode;Varkode2;TrinnKode;VNKode;Definisjonsgrunnlag
FA01-01;KA;LM-KA_a;LM-KA;KA_ab
FA01-01;KA;LM-KA_b;LM-KA;KA_ab
FA01-01;HU;LM-HU_0;LM-HU;HU_0a
FA01-01;HU;LM-HU_a;LM-HU;HU_0a
FA01-02;KA;LM-KA_b;LM-KA;KA_ab
FA01-02;HU;LM-HU_y;LM-HU;HU_bcy
FA01-02;KA;LM-KA_a;LM-KA;KA_ab
FA01-02;HU;LM-HU_c;LM-HU;HU_bcy
FA01-02;HU;LM-HU_b;LM-HU;HU_bcy
FA01-03;KA;LM-KA_c;LM-KA;KA_cd
FA01-03;KA;LM-KA_d;LM-KA;KA_cd
FA01-03;HU;LM-HU_0;LM-HU;HU_0a
FA01-03;HU;LM-HU_a;LM-HU;HU_0a
FA01-04;KA;LM-KA_c;LM-KA;KA_cd
FA01-04;KA;LM-KA_d;LM-KA;KA_cd
FA01-04;HU;LM-HU_b;LM-HU;HU_bcy
FA01-04;HU;LM-HU_c;LM-HU;HU_bcy
FA01-04;HU;LM-HU_y;LM-HU;HU_bcy
FA01-05;HU;LM-HU_y;LM-HU;HU_0abcy
FA01-05;HU;LM-HU_c;LM-HU;HU_0abcy
FA01-05;HU;LM-HU_b;LM-HU;HU_0abcy
FA01-05;KA;LM-KA_f;LM-KA;KA_efg
FA01-05;HU;LM-HU_0;LM-HU;HU_0abcy
FA01-05;KA;LM-KA_g;LM-KA;KA_efg
FA01-05;KA;LM-KA_e;LM-KA;KA_efg
FA01-05;HU;LM-HU_a;LM-HU;HU_0abcy
FA01-06;HU;LM-HU_y;LM-HU;HU_0abcy
FA01-06;HU;LM-HU_c;LM-HU;HU_0abcy
FA01-06;HU;LM-HU_0;LM-HU;HU_0abcy
FA01-06;HU;LM-HU_a;LM-HU;HU_0abcy
FA01-06;KA;LM-KA_h;LM-KA;KA_hi
FA01-06;KA;LM-KA_i;LM-KA;KA_hi
FA01-06;HU;LM-HU_b;LM-HU;HU_0abcy
FA02-01;VT;;;VT_0Ab
FA02-01;VT;LM-VT_A;LM-VT;VT_0Ab
FA02-01;HU;LM-HU_a;LM-HU;HU_0a
FA02-01;VT;LM-VT_0;LM-VT;VT_0Ab
FA02-01;SM;LM-SM_f;LM-SM;SM_ef
FA02-01;SM;LM-SM_e;LM-SM;SM_ef
FA02-01;KA;LM-KA_b;LM-KA;KA_ab
FA02-01;KA;LM-KA_a;LM-KA;KA_ab
FA02-01;HU;LM-HU_0;LM-HU;HU_0a
FA02-02;VT;LM-VT_0;LM-VT;VT_0Ab
FA02-02;VT;;;VT_0Ab
FA02-02;VT;LM-VT_A;LM-VT;VT_0Ab
FA02-02;HU;LM-HU_a;LM-HU;HU_0a
FA02-02;KA;LM-KA_b;LM-KA;KA_ab
FA02-02;SM;LM-SM_i;LM-SM;SM_ghi
FA02-02;SM;LM-SM_h;LM-SM;SM_ghi
FA02-02;SM;LM-SM_g;LM-SM;SM_ghi
FA02-02;HU;LM-HU_0;LM-HU;HU_0a
FA02-02;KA;LM-KA_a;LM-KA;KA_ab
FA02-03;VT;;;VT_0Ab
FA02-03;VT;LM-VT_A;LM-VT;VT_0Ab
FA02-03;VT;LM-VT_0;LM-VT;VT_0Ab
FA02-03;HU;LM-HU_y;LM-HU;HU_bcy
FA02-03;HU;LM-HU_b;LM-HU;HU_bcy
FA02-03;SM;LM-SM_f;LM-SM;SM_ef
FA02-03;SM;LM-SM_e;LM-SM;SM_ef
FA02-03;KA;LM-KA_b;LM-KA;KA_ab
FA02-03;KA;LM-KA_a;LM-KA;KA_ab
FA02-03;HU;LM-HU_c;LM-HU;HU_bcy
FA02-04;VT;LM-VT_0;LM-VT;VT_0Ab
FA02-04;VT;;;VT_0Ab
FA02-04;VT;LM-VT_A;LM-VT;VT_0Ab
FA02-04;HU;LM-HU_y;LM-HU;HU_bcy
FA02-04;KA;LM-KA_b;LM-KA;KA_ab
FA02-04;HU;LM-HU_b;LM-HU;HU_bcy
FA02-04;SM;LM-SM_i;LM-SM;SM_ghi
FA02-04;SM;LM-SM_h;LM-SM;SM_ghi
FA02-04;SM;LM-SM_g;LM-SM;SM_ghi
FA02-04;KA;LM-KA_a;LM-KA;KA_ab
FA02-04;HU;LM-HU_c;LM-HU;HU_bcy
FA02-05;VT;LM-VT_A;LM-VT;VT_0Ab
FA02-05;VT;;;VT_0Ab
FA02-05;VT;LM-VT_0;LM-VT;VT_0Ab
FA02-05;KA;LM-KA_d;LM-KA;KA_cd
FA02-05;HU;LM-HU_0;LM-HU;HU_0a
FA02-05;SM;LM-SM_f;LM-SM;SM_ef
FA02-05;SM;LM-SM_e;LM-SM;SM_ef
FA02-05;HU;LM-HU_a;LM-HU;HU_0a
FA02-05;KA;LM-KA_c;LM-KA;KA_cd
FA02-06;VT;LM-VT_B;LM-VT;VT_0AB
FA02-06;VT;LM-VT_A;LM-VT;VT_0AB
FA02-06;VT;LM-VT_0;LM-VT;VT_0AB
FA02-06;HU;LM-HU_a;LM-HU;HU_0a
FA02-06;SM;LM-SM_i;LM-SM;SM_ghi
FA02-06;SM;LM-SM_h;LM-SM;SM_ghi
FA02-06;SM;LM-SM_g;LM-SM;SM_ghi
FA02-06;KA;LM-KA_d;LM-KA;KA_cd
FA02-06;KA;LM-KA_c;LM-KA;KA_cd
FA02-06;HU;LM-HU_0;LM-HU;HU_0a
FA02-07;VT;LM-VT_0;LM-VT;VT_0AB
FA02-07;VT;LM-VT_B;LM-VT;VT_0AB
FA02-07;VT;LM-VT_A;LM-VT;VT_0AB
FA02-07;HU;LM-HU_y;LM-HU;HU_bcy
FA02-07;KA;LM-KA_d;LM-KA;KA_cd
FA02-07;HU;LM-HU_b;LM-HU;HU_bcy
FA02-07;SM;LM-SM_f;LM-SM;SM_ef
FA02-07;SM;LM-SM_e;LM-SM;SM_ef
FA02-07;KA;LM-KA_c;LM-KA;KA_cd
FA02-07;HU;LM-HU_c;LM-HU;HU_bcy
