Langkode;Hovedtypegruppe;Prosedyrekategori;Hovedtype;Grunntype;Grunntypenavn;Kode
NiN-3.0-T-C-PE-NA-VM-FA01-01;F;A;01;01;svært kalkfattige og klare lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-01
NiN-3.0-T-C-PE-NA-VM-FA01-02;F;A;01;02;svært kalkfattige og humøse lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-02
NiN-3.0-T-C-PE-NA-VM-FA01-03;F;A;01;03;noe kalkfattige og klare lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-03
NiN-3.0-T-C-PE-NA-VM-FA01-04;F;A;01;04;noe kalkfattige og humøse lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-04
NiN-3.0-T-C-PE-NA-VM-FA01-05;F;A;01;05;moderat kalkrike lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-05
NiN-3.0-T-C-PE-NA-VM-FA01-06;F;A;01;06;svært kalkrike lagdelte innsjø-vannmassesystemer uten fisk;F-A-01-06
NiN-3.0-T-C-PE-NA-VM-FA02-01;F;A;02;01;svært kalkfattige og klare store grunne innsjø-vannmassesystemer uten fisk;F-A-02-01
NiN-3.0-T-C-PE-NA-VM-FA02-02;F;A;02;02;svært kalkfattige og klare små grunne innsjø-vannmassesystemer uten fisk;F-A-02-02
NiN-3.0-T-C-PE-NA-VM-FA02-03;F;A;02;03;svært kalkfattige og humøse store grunne innsjø-vannmassesystemer uten fisk;F-A-02-03
NiN-3.0-T-C-PE-NA-VM-FA02-04;F;A;02;04;svært kalkfattige og humøse små grunne innsjø-vannmassesystemer uten fisk;F-A-02-04
NiN-3.0-T-C-PE-NA-VM-FA02-05;F;A;02;05;noe kalkfattige og klare store grunne innsjø-vannmassesystemer uten fisk;F-A-02-05
NiN-3.0-T-C-PE-NA-VM-FA02-06;F;A;02;06;noe kalkfattige og klare små grunne innsjø-vannmassesystemer uten fisk;F-A-02-06
NiN-3.0-T-C-PE-NA-VM-FA02-07;F;A;02;07;noe kalkfattige og humøse store grunne innsjø-vannmassesystemer uten fisk;F-A-02-07
NiN-3.0-T-C-PE-NA-VM-FA02-08;F;A;02;08;noe kalkfattige og humøse små grunne innsjø-vannmassesystemer uten fisk;F-A-02-08
NiN-3.0-T-C-PE-NA-VM-FA02-09;F;A;02;09;moderat kalkrike og klare store grunne innsjø-vannmassesystemer uten fisk;F-A-02-09
NiN-3.0-T-C-PE-NA-VM-FA02-10;F;A;02;10;moderat kalkrike og klare små grunne innsjø-vannmassesystemer uten fisk;F-A-02-10
NiN-3.0-T-C-PE-NA-VM-FA02-11;F;A;02;11;moderat kalkrike og humøse store grunne innsjø-vannmassesystemer uten fisk;F-A-02-11
NiN-3.0-T-C-PE-NA-VM-FA02-12;F;A;02;12;moderat kalkrike og humøse små grunne innsjø-vannmassesystemer uten fisk;F-A-02-12
NiN-3.0-T-C-PE-NA-VM-FA02-13;F;A;02;13;svært kalkrike og klare store grunne innsjø-vannmassesystemer uten fisk;F-A-02-13
NiN-3.0-T-C-PE-NA-VM-FA02-14;F;A;02;14;svært kalkrike og klare små grunne innsjø-vannmassesystemer uten fisk;F-A-02-14
NiN-3.0-T-C-PE-NA-VM-FA02-15;F;A;02;15;svært kalkrike og humøse store grunne innsjø-vannmassesystemer uten fisk;F-A-02-15
NiN-3.0-T-C-PE-NA-VM-FA02-16;F;A;02;16;svært kalkrike og humøse små grunne innsjø-vannmassesystemer uten fisk;F-A-02-16
