Kode;Hovedtypenavn;Hovedtypegruppe;Prosedyrekategori;Hovedtype;HTGKode
0A-0-01;kystvann;A;0;01;0-A
0A-0-02;atlantisk vann;A;0;02;0-A
0A-0-03;intermediært vann;A;0;03;0-A
0A-0-04;dyphavsvann;A;0;04;0-A
0A-0-05;arktisk vann;A;0;05;0-A
0B-0-01;tidevannsbetinget fullsirkulerende fjordvann;B;0;01;0-B
0B-0-02;øvre fjordvannlag med estuarin sirkulasjon;B;0;02;0-B
0B-0-03;stabilisert varmt intermediært fjordvann;B;0;03;0-B
0B-0-04;fjord-dypvann dannet fra atlantisk vann;B;0;04;0-B
0B-0-05;fjord-dypvann dannet fra kystvann;B;0;05;0-B
0B-0-06;stabilisert kaldt fjord-dypvann;B;0;06;0-B
0B-0-07;stabilisert iskaldt fjord-dypvann;B;0;07;0-B
0FS-0-01;hardbunn i ferskvann;FS;0;01;0-FS
0FS-0-02;bløtbunn i ferskvann;FS;0;02;0-FS
0FS-0-03;levende ferskvannsplanter;FS;0;03;0-FS
0FS-0-04;levende ferskvannsdyr;FS;0;04;0-FS
0FS-0-05;dødt organisk materiale i ferskvann;FS;0;05;0-FS
0FS-0-06;syntetiske livsmedier i ferskvann;FS;0;06;0-FS
0FU-0-01;substratfrie livsmedier i ferskvann;FU;0;01;0-FU
0MS-0-01;hardbunn i marine systemer;MS;0;01;0-MS
0MS-0-02;bløtbunn i marine systemer;MS;0;02;0-MS
0MS-0-03;biogene karbonatsubstrater fra døde organismer i marine systemer;MS;0;03;0-MS
0MS-0-04;levende organismer med karbonatsubstrater i marine systemer;MS;0;04;0-MS
0MS-0-05;levende marine planter;MS;0;05;0-MS
0MS-0-06;levende marine dyr;MS;0;06;0-MS
0MS-0-07;dødt plantemateriale i marine systemer;MS;0;07;0-MS
0MS-0-08;døde dyr i marine systemer;MS;0;08;0-MS
0MS-0-09;syntetiske livsmedier i marine systemer;MS;0;09;0-MS
0MU-0-01;substratfrie livsmedier i marine systemer;MU;0;01;0-MU
0TS-0-01;grovere uorganiske substrater på land;TS;0;01;0-TS
0TS-0-02;finere uorganiske substrater på land;TS;0;02;0-TS
0TS-0-03;organisk jord;TS;0;03;0-TS
0TS-0-04;levende, ikke forvedete planter på land;TS;0;04;0-TS
0TS-0-05;bladverk, nåleverk og reproduktive deler av levende forvedete planter på land;TS;0;05;0-TS
0TS-0-06;ved-livsmedier;TS;0;06;0-TS
0TS-0-07;lav og markboende sopp;TS;0;07;0-TS
0TS-0-08;levende dyr og dyrebo;TS;0;08;0-TS
0TS-0-09;dødt plantemateriale;TS;0;09;0-TS
0TS-0-10;dødt animalsk materiale;TS;0;10;0-TS
0TS-0-11;dyremøkk og fuglegjødsel;TS;0;11;0-TS
0TS-0-12;syntetiske livsmedier på land;TS;0;12;0-TS
0TU-0-01;snø og is på land;TU;0;01;0-TU
0TU-0-02;luft;TU;0;02;0-TU
BA-0-01;brekappe;A;0;01;BM-A
BA-0-02;sammensatt bre;A;0;02;BM-A
BA-0-03;utløpsbre;A;0;03;BM-A
BA-0-04;dalbre;A;0;04;BM-A
BA-0-05;botnbre;A;0;05;BM-A
BA-0-06;dalsidebre;A;0;06;BM-A
BA-0-07;regenerert bre;A;0;07;BM-A
BA-0-08;isfonn;A;0;08;BM-A
BA-0-09;steinbre med bre-opphav;A;0;09;BM-A
EA-0-01;elveløp i fast fjell med foss;A;0;01;EL-A
EA-0-02;elveløp i fast fjell uten foss;A;0;02;EL-A
