HTKode;Varkode2;TrinnKode;VNKode;Definisjonsgrunnlag
NA-FA01;HY;LM-HY_A;LM-HY;HY_A
NA-FA01;N;;;N
NA-FA02;HY;LM-HY_B;LM-HY;HY_B
NA-FA02;N;;;N
NA-FB01;NS;;;NS
NA-FB01;HY;LM-HY_A;LM-HY;HY_A
NA-FB02;NS;;;NS
NA-FB02;HY;LM-HY_B;LM-HY;HY_B
NA-FB03;UK;;;UK
NA-FB03;NS;;;NS
NA-FC01;TU;LM-TU_a;LM-TU;TU_a
NA-FC02;GS;LM-GS_b;LM-GS;GS_b
NA-FC03;NG;LM-NG_b;LM-NG;NG_b
NA-FC04;OM;LM-OM_b;LM-OM;OM_b
NA-FC05;IT;LM-IT_A;LM-IT;IT_A
NA-FM01;UK;;;UK
NA-FM02;UK;;;UK
NA-FM03;UK;;;UK
NA-FM04;UK;;;UK
NA-FM05;UK;;;UK
NA-IA01;N;;;N
NA-LA01;N;;;N
NA-LA02;N;;;N
NA-LA03;N;;;N
NA-LB01;NS;;;NS
NA-LB02;NS;;;NS
NA-LC01;ST;LM-ST_E;LM-ST;ST_E
NA-LC02;ST;LM-ST_F;LM-ST;ST_F
NA-LC03;ST;LM-ST_G;LM-ST;ST_G
NA-LC04;OM;LM-OM_b;LM-OM;OM_b
NA-LC05;IT;LM-IT_A;LM-IT;IT_A
NA-LC06;NG;LM-NG_b;LM-NG;NG_b
NA-LG01;K;;;K
NA-LJ01;HG;LM-HG_b;LM-HG;HG_b
NA-LM01;MY;LM-MY_A;LM-MY;MY_ABC
NA-LM01;MY;LM-MY_B;LM-MY;MY_ABC
NA-LM01;MY;LM-MY_C;LM-MY;MY_ABC
NA-LM02;MY;LM-MY_D;LM-MY;MY_D
NA-LM03;MY;LM-MY_F;LM-MY;MY_EF
NA-LM03;MY;LM-MY_E;LM-MY;MY_EF
NA-LM04;UK;;;UK
NA-LM05;UK;;;UK
NA-MA01;N;;;N
NA-MA02;N;;;N
NA-MA03;N;;;N
NA-MA04;N;;;N
NA-MA05;N;;;N
