HTKode;HTGKode
BM-A01;BM-A
BM-A02;BM-A
BM-A03;BM-A
BM-A04;BM-A
BM-A05;BM-A
BM-A06;BM-A
BM-A07;BM-A
BM-A08;BM-A
BM-A09;BM-A
EL-A01;EL-A
EL-A02;EL-A
EL-A03;EL-A
EL-B01;EL-B
EL-B02;EL-B
EL-B03;EL-B
EL-B04;EL-B
EL-C01;EL-C
EL-C02;EL-C
EL-C03;EL-C
EL-D01;EL-D
EL-D02;EL-D
EL-D03;EL-D
EL-E01;EL-E
EL-E02;EL-E
EL-E03;EL-E
EL-E04;EL-E
EL-F01;EL-F
EL-G01;EL-G
FL-A01;FL-A
FL-A02;FL-A
FL-A03;FL-A
FL-A04;FL-A
FL-A05;FL-A
FL-A06;FL-A
FL-A07;FL-A
FL-A08;FL-A
FL-A09;FL-A
FL-A10;FL-A
FL-B01;FL-B
FL-C01;FL-C
FL-C02;FL-C
FL-C03;FL-C
FL-C04;FL-C
FL-C05;FL-C
FL-D01;FL-D
FL-D02;FL-D
FL-D03;FL-D
FL-D04;FL-D
FL-D05;FL-D
FL-D06;FL-D
FL-D07;FL-D
FL-D08;FL-D
FL-D09;FL-D
FL-D10;FL-D
FL-D11;FL-D
FL-E01;FL-E
FL-E02;FL-E
FL-E03;FL-E
FL-E04;FL-E
FL-F01;FL-F
FL-F02;FL-F
FL-F03;FL-F
FL-F04;FL-F
FL-F05;FL-F
FL-F06;FL-F
FL-G01;FL-G
FL-G02;FL-G
FL-G03;FL-G
FL-G04;FL-G
FL-G05;FL-G
FL-G06;FL-G
FL-G07;FL-G
FL-G08;FL-G
FL-H01;FL-H
FL-H02;FL-H
FL-H03;FL-H
FL-H04;FL-H
FL-H05;FL-H
FL-H06;FL-H
FL-H07;FL-H
FL-H08;FL-H
FL-H09;FL-H
FL-H10;FL-H
FL-H11;FL-H
FL-H12;FL-H
FL-H13;FL-H
FL-H14;FL-H
FL-H15;FL-H
FL-H16;FL-H
FL-H17;FL-H
FL-H18;FL-H
FL-H19;FL-H
FL-H20;FL-H
FL-H21;FL-H
FL-H22;FL-H
FL-H23;FL-H
FL-H24;FL-H
FL-H25;FL-H
FL-H26;FL-H
FL-H27;FL-H
FL-H28;FL-H
FL-H29;FL-H
FL-H30;FL-H
FL-I01;FL-I
FL-I02;FL-I
FL-I03;FL-I
FL-I04;FL-I
FL-I05;FL-I
FL-I06;FL-I
FL-I07;FL-I
FL-I08;FL-I
FL-I09;FL-I
FL-I10;FL-I
FL-I11;FL-I
FL-I12;FL-I
FL-J01;FL-J
FL-J02;FL-J
FL-J04;FL-J
FL-K01;FL-K
FL-K02;FL-K
FL-K03;FL-K
FL-L01;FL-L
FL-L02;FL-L
FL-L03;FL-L
FL-L04;FL-L
FL-L05;FL-L
FL-L06;FL-L
FL-L07;FL-L
FL-L08;FL-L
FL-L09;FL-L
FL-L10;FL-L
FL-M01;FL-M
FL-M02;FL-M
FL-M03;FL-M
FL-M04;FL-M
FL-M05;FL-M
FL-M06;FL-M
FL-M07;FL-M
FL-N01;FL-N
FL-N02;FL-N
FL-N03;FL-N
FL-N04;FL-N
FL-N05;FL-N
FL-O01;FL-O
FL-O02;FL-O
FL-P01;FL-P
FL-P02;FL-P
FL-P03;FL-P
FL-P04;FL-P
FL-P05;FL-P
FL-P06;FL-P
FL-P07;FL-P
FL-P08;FL-P
IB-A01;IB-A
IB-A02;IB-A
IB-B01;IB-B
IB-B02;IB-B
IB-C01;IB-C
IB-C02;IB-C
IB-D01;IB-D
IB-D02;IB-D
IB-D03;IB-D
IB-D04;IB-D
IB-D05;IB-D
IB-D06;IB-D
IB-E01;IB-E
IB-E02;IB-E
IB-F01;IB-F
IB-F02;IB-F
IB-G01;IB-G
IB-G02;IB-G
IB-G03;IB-G
IB-G04;IB-G
IB-H01;IB-H
IB-I01;IB-I
IB-I02;IB-I
IB-I03;IB-I
IB-I04;IB-I
IB-I05;IB-I
IB-I06;IB-I
IB-I07;IB-I
IB-I08;IB-I
IB-I09;IB-I
IB-J01;IB-J
IB-K01;IB-K
IB-L01;IB-L
IB-L02;IB-L
IB-M01;IB-M
IB-N01;IB-N
IB-N02;IB-N
IB-N03;IB-N
IB-N04;IB-N
LA-I01;LA-I
LA-I02;LA-I
LA-I03;LA-I
LA-K01;LA-K
LA-K02;LA-K
LA-K03;LA-K
LA-M01;LA-M
LA-M02;LA-M
LA-M03;LA-M
LI-FS0;LI-FS
LI-FS01;LI-FS
LI-FS02;LI-FS
LI-FS03;LI-FS
LI-FS04;LI-FS
LI-FS05;LI-FS
LI-FS06;LI-FS
LI-FU0;LI-FU
LI-FU01;LI-FU
LI-MS0;LI-MS
LI-MS01;LI-MS
LI-MS02;LI-MS
LI-MS03;LI-MS
LI-MS04;LI-MS
LI-MS05;LI-MS
LI-MS06;LI-MS
LI-MS07;LI-MS
LI-MS08;LI-MS
LI-MS09;LI-MS
LI-MU0;LI-MU
LI-MU01;LI-MU
LI-TS0;LI-TS
LI-TS01;LI-TS
LI-TS02;LI-TS
LI-TS03;LI-TS
LI-TS04;LI-TS
LI-TS05;LI-TS
LI-TS06;LI-TS
LI-TS07;LI-TS
LI-TS08;LI-TS
LI-TS09;LI-TS
LI-TS10;LI-TS
LI-TS11;LI-TS
LI-TS12;LI-TS
LI-TU0;LI-TU
LI-TU01;LI-TU
LI-TU02;LI-TU
MV-A01;MV-A
MV-A02;MV-A
MV-A03;MV-A
MV-A04;MV-A
MV-A05;MV-A
MV-B01;MV-B
MV-B02;MV-B
MV-B03;MV-B
MV-B04;MV-B
MV-B05;MV-B
MV-B06;MV-B
MV-B07;MV-B
NA-F00;NA-F
NA-FA01;NA-F
NA-FA02;NA-F
NA-FB01;NA-F
NA-FB02;NA-F
NA-FB03;NA-F
NA-FC01;NA-F
NA-FC02;NA-F
NA-FC03;NA-F
NA-FC04;NA-F
NA-FC05;NA-F
NA-FM01;NA-F
NA-FM02;NA-F
NA-FM03;NA-F
NA-FM04;NA-F
NA-FM05;NA-F
NA-I00;NA-I
NA-IA01;NA-I
NA-L00;NA-L
NA-LA01;NA-L
NA-LA02;NA-L
NA-LA03;NA-L
NA-LB01;NA-L
NA-LB02;NA-L
NA-LC01;NA-L
NA-LC02;NA-L
NA-LC03;NA-L
NA-LC04;NA-L
NA-LC05;NA-L
NA-LC06;NA-L
NA-LG01;NA-L
NA-LJ01;NA-L
NA-LM01;NA-L
NA-LM02;NA-L
NA-LM03;NA-L
NA-LM04;NA-L
NA-LM05;NA-L
NA-M00;NA-M
NA-MA01;NA-M
NA-MA02;NA-M
NA-MA03;NA-M
NA-MA04;NA-M
NA-MA05;NA-M
NA-MA06;NA-M
NA-MB01;NA-M
NA-MB02;NA-M
NA-MB03;NA-M
NA-MC01;NA-M
NA-MC02;NA-M
NA-MC03;NA-M
NA-MC04;NA-M
NA-MC05;NA-M
NA-MC06;NA-M
NA-MC07;NA-M
NA-MC08;NA-M
NA-MC09;NA-M
NA-MC10;NA-M
NA-MF01;NA-M
NA-MJ01;NA-M
NA-MM01;NA-M
NA-MM02;NA-M
NA-O00;NA-O
NA-OA01;NA-O
NA-OA02;NA-O
NA-OB01;NA-O
NA-OC01;NA-O
NA-OC02;NA-O
NA-OC03;NA-O
NA-OG01;NA-O
NA-OM01;NA-O
NA-OM02;NA-O
NA-S00;NA-S
NA-SA01;NA-S
NA-SC01;NA-S
NA-SC02;NA-S
NA-SC03;NA-S
NA-SC04;NA-S
NA-SC05;NA-S
NA-SC06;NA-S
NA-SC07;NA-S
NA-SM01;NA-S
NA-SM02;NA-S
NA-SM03;NA-S
NA-T00;NA-T
NA-TA01;NA-T
NA-TA02;NA-T
NA-TA03;NA-T
NA-TA04;NA-T
NA-TB01;NA-T
NA-TC01;NA-T
NA-TC02;NA-T
NA-TC03;NA-T
NA-TC04;NA-T
NA-TC05;NA-T
NA-TC06;NA-T
NA-TC07;NA-T
NA-TC08;NA-T
NA-TD01;NA-T
NA-TD02;NA-T
NA-TD03;NA-T
NA-TD04;NA-T
NA-TD05;NA-T
NA-TD06;NA-T
NA-TE01;NA-T
NA-TE02;NA-T
NA-TE03;NA-T
NA-TE04;NA-T
NA-TE05;NA-T
NA-TE06;NA-T
NA-TE07;NA-T
NA-TE08;NA-T
NA-TE09;NA-T
NA-TF01;NA-T
NA-TF02;NA-T
NA-TG01;NA-T
NA-TH01;NA-T
NA-TI01;NA-T
NA-TK01;NA-T
NA-TK02;NA-T
NA-TK03;NA-T
NA-TL01;NA-T
NA-TM01;NA-T
NA-TM02;NA-T
NA-TM03;NA-T
NA-TM04;NA-T
NA-TM05;NA-T
NA-TM06;NA-T
NA-TN01;NA-T
NA-TN02;NA-T
NA-TN03;NA-T
NA-TO01;NA-T
NA-TO02;NA-T
NA-TO03;NA-T
NA-TO04;NA-T
NA-V00;NA-V
NA-VA01;NA-V
NA-VB01;NA-V
NA-VC01;NA-V
NA-VC02;NA-V
NA-VC03;NA-V
NA-VC04;NA-V
NA-VC05;NA-V
NA-VE01;NA-V
NA-VF01;NA-V
NA-VF02;NA-V
NA-VG01;NA-V
NA-VG02;NA-V
NA-VI01;NA-V
NA-VK01;NA-V
NA-VK02;NA-V
NA-VM01;NA-V
NA-VM02;NA-V
NA-VM03;NA-V
NA-VM04;NA-V
NA-VM05;NA-V
NA-VM06;NA-V
NA-VO01;NA-V
NK-C01;NK-C
NK-C02;NK-C
NK-C03;NK-C
NK-C04;NK-C
NK-C05;NK-C
NK-C06;NK-C
NK-C07;NK-C
NK-C08;NK-C
NK-D01;NK-D
NK-D02;NK-D
NK-D03;NK-D
NK-E01;NK-E
NK-E02;NK-E
NK-E03;NK-E
TM-A01;TM-A
TM-A02;TM-A
TM-B01;TM-B
TM-B02;TM-B
TM-B03;TM-B
TM-B04;TM-B
TM-B05;TM-B
TM-C01;TM-C
TM-D01;TM-D
TM-D02;TM-D
TM-D03;TM-D
TM-E01;TM-E
TM-E02;TM-E
