GTKode;forrigekode;FP;SP;Klasse;url
MA06-29;NA M5-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-7
MA06-29;NA M5-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-17
MA02-11;NA M1-4;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M1-4
MA02-11;NA M1-6;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M1-6
OA02-13;NA O2-15;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-15
OA02-13;NA O2-16;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-16
MA06-28;NA M5-10;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-10
MA06-28;NA M5-19;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-19
OA02-08;NA O2-9;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-9
OA02-08;NA O2-10;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-10
MA06-27;NA M5-9;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-9
MA06-27;NA M5-18;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-18
MA06-27;NA M5-26;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-26
MA06-27;NA M5-32;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-32
OA02-03;NA O2-3;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-3
OA02-03;NA O2-4;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-4
TG01-09;NA T27-8;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-8
TG01-09;NA T28-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-1
TG01-09;NA T27-2;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-2
TG01-09;NA T27-3;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-3
TG01-01;NA T28-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-1
TG01-01;NA T28-2;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-2
TG01-01;NA T28-3;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-3
SA01-01;NA H1-1;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SA01-01;NA H1-5;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SA01-02;NA H1-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SA01-02;NA H1-5;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SC01-02;NA H1-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-3
SC01-02;NA H1-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-4
SC05-01;NA H2-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-2
SC05-01;NA H2-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-3
SC05-01;NA H2-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-7
SC05-01;NA H2-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-8
SC06-01;NA H1-1;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SC06-01;NA H1-5;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SC06-02;NA H1-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SC06-02;NA H1-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
MA03-01;NA M2-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-1
MA03-01;NA M2-13;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-13
MA03-03;NA M2-6;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-6
MA03-03;NA M2-14;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-14
MA03-02;NA M2-6;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-6
MA03-02;NA M2-14;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-14
MA03-04;NA M2-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-2
MA03-04;NA M2-15;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-15
MA03-05;NA M2-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-7
MA03-05;NA M2-16;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-16
MA03-06;NA M2-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-3
MA03-06;NA M2-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-17
MA03-07;NA M2-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-8
MA03-07;NA M2-18;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-18
MA03-08;NA M2-4;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-4
MA03-08;NA M2-5;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-5
MA03-08;NA M2-19;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-19
MA03-08;NA M2-20;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-20
MA03-09;NA M2-9;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-9
MA03-09;NA M2-10;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-10
MA03-09;NA M2-19;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-19
MA03-09;NA M2-20;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-20
MA04-02;NA M4-33;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-33
MA04-02;NA M4-34;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-34
MA04-08;NA M4-33;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-33
MA04-08;NA M4-34;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-34
MA04-01;NA M4-29;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-01;NA M4-38;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-06;NA M4-29;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-06;NA M4-38;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-04;NA M4-31;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-31
MA04-04;NA M4-40;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-40
MA04-10;NA M4-31;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-31
MA04-10;NA M4-40;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-40
MA04-07;NA M4-29;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-07;NA M4-38;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-05;NA M4-30;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-30
MA04-05;32;2;4;GT;
