HTKode;forrigekode;FP;SP;Klasse;url
NA-VM03;NA V13-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-2
NA-VM03;NA V13-4;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-4
NA-VM03;NA V13-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-6
NA-VM04;NA V11;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11
NA-VM04;NA V12;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V12
NA-VM06;NA V13-1;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-1
NA-VM06;NA V13-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-3
NA-VM06;NA V13-5;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-5
NA-MM01;NA M14;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M14
NA-MM01;NA M15;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M15
NA-TA04;NA T22;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22
NA-TA04;NA T9;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T9
NA-TC03;NA T21;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T21
NA-TC03;NA T29;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29
NA-TD06;NA T14;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T14
NA-TD06;NA T10-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T10-2
NA-TG01;NA T17-4;3;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T17-4
NA-TG01;T17-27;3;3;HT;
NA-TG01;T17-28;3;3;HT;
NA-TG01;T17-29;3;3;HT;
NA-TI01;NA T4;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4
NA-TI01;NA T38;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T38
NA-TM01;NA T39-1;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-1
NA-TM01;NA T39-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-2
NA-TM01;NA T39-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-3
NA-TM01;NA T39-4;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-4
NA-TM01;NA T39-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-7
NA-TM01;NA T39-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-8
NA-TM02;NA T39-5;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-5
NA-TM02;NA T39-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-6
NA-TM03;NA T35;3;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T35
NA-TM03;NA T37;3;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T37
NA-TM04;NA T36-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T36-2
NA-TM04;NA T36-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T36-3
NA-VC02;NA V4-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-6
NA-VC02;NA V4-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-7
NA-VC02;NA V4-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-8
NA-VC02;NA V4-9;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-9
NA-VC03;NA V4-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-6
NA-VC03;NA V4-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-7
NA-VC03;NA V4-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-8
NA-VC03;NA V4-9;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-9
NA-VM01;NA V11;2;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11
NA-VM01;NA V12;2;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V12
