Kortkode;forrigekode;FP;SP;Klasse;url
LM-KA_a;KA;4;4;VT;
KM-HS_KB;7SB-LS-PH;4;4;VT;
KM-HS_U;7SB-LS-0;4;4;VT;
SA-_E2B;1AR-A-0-E2B;4;4;VT;
RM-BA_0;6KE·1;4;2;VT;
RM-BA_a;6KE·1;4;2;VT;
RM-BA_b;6KE·1;4;2;VT;
RM-BA_c;6KE·2;4;3;VT;
RM-BA_d;6KE·2;4;3;VT;
RM-BP_0;KLG-BP-1;3;4;VT;
RM-BP_a;KLG-BP-1;0;4;VT;
RM-BP_b;KLG-BP-2;4;4;VT;
RM-FF_0;KY·0;3;3;VT;
RM-FF_a;KLG·IYK3,4;3;3;VT;
RM-FF_b;KLG-IYK·2;3;3;VT;
RM-FF_c;KLG-IYK·1;4;2;VT;
RM-FF_d;KLG-IYK·1;4;1;VT;
RM-IP_0;KLG-IP-1;2;4;VT;
RM-IP_a;KLG-IP-1;1;4;VT;
RM-IP_b;KLG-IP-2;4;4;VT;
RM-IP_c;KLG-IP-3;4;4;VT;
RM-KY_0;KLG-KA-1;2;4;VT;
RM-KY_a;KLG-KA-1;1;4;VT;
RM-KY_b;KLG-KA-2;4;4;VT;
RM-MS_a;6KS·1;4;4;VT;
RM-MS_b;6KS·2;4;3;VT;
RM-MS_c;6KS·2;4;3;VT;
RM-MS_d;6KS·2,3;4;2;VT;
RM-MS_e;6KS·4,5;3;3;VT;
RM-SE_a;6SE·1;4;4;VT;
RM-SE_b;6SE·2;4;4;VT;
RM-SE_c;6SE·3;4;4;VT;
RM-SE_d;6SE·4;4;4;VT;
RM-SE_e;6SE·5;4;4;VT;
RM-AD)_f;6SE·6;4;4;VT;
RM-SO_a;6SO·1;4;4;VT;
RM-SO_b;6SO·2;4;4;VT;
RM-SO_c;6SO·3;4;4;VT;
RM-SO_d;6SO·4;4;4;VT;
RM-SO_e;6SO·5;4;4;VT;
RM-SO_f;6SO·6, 6SX·3;4;4;VT;
RM-SO_g;6SO·7, 6SX·4,5;4;4;VT;
RM-VP_0;KLG-VP-1;1;4;VT;
RM-VP_a;KLG-VP-1;2;4;VT;
RM-VP_b;KLG-VP-1;4;4;VT;
RM-YK_0;KLG-IYK·1;4;4;VT;
RM-YK_a;KLG-IYK·1;4;4;VT;
RM-YK_b;KLG-IYK·2;4;4;VT;
RM-YK_c;KLG-IYK·3;4;4;VT;
RM-YK_d;KLG-IYK·4;4;4;VT;
LM-BK_0;BK·0;4;4;VT;
LM-BK_A;BK·a;4;4;VT;
LM-BK_B;BK·b;4;4;VT;
LM-BK_C;BK·c;4;4;VT;
LM-BK_D;BK·d;4;4;VT;
LM-DK_0;DK·0;4;4;VT;
LM-DK_A;DK·abc;4;4;VT;
LM-DK_B;DK·defgh;4;4;VT;
LM-DK_C;DK·ijklm;4;4;VT;
LM-DK_D;DK·nopqr;4;4;VT;
LM-DK_E;DK·st;4;4;VT;
LM-DK_F;DK·uv;4;4;VT;
LM-DK_G;DK·wx;4;4;VT;
LM-DK_H;DK·y¤;4;4;VT;
LM-FK_0;FK·0;4;4;VT;
LM-FK_A;FK·a;4;4;VT;
LM-FK_B;FK·b;4;4;VT;
LM-FK_C;FK·c;4;4;VT;
LM-FK_D;FK·d;4;4;VT;
LM-FK_E;FK·e;4;4;VT;
LM-HV_A;KY·a;4;4;VT;
LM-HV_B;DM·a;2;4;VT;
LM-HV_C;DM·b;4;4;VT;
LM-HV_D;DM·cdef;4;4;VT;
LM-HV_E;DM·a;1;4;VT;
LM-KT_A;KT·d;4;4;VT;
LM-KT_B;KT·e;4;4;VT;
LM-LT_0;SH·0;2;1;VT;
LM-LT_A;SH·cd;3;3;VT;
LM-LT_B;SH·0;3;2;VT;
LM-LT_C;SH·e;4;3;VT;
LM-LT_D;SH·b;4;4;VT;
LM-LT_E;SH·0;2;2;VT;
LM-LT_G;SH·a;4;1;VT;
LM-OV_0;FR·0;4;4;VT;
LM-OV_A;FR·a;4;4;VT;
LM-PF_0;PF·0;4;4;VT;
LM-PF_A;PF·a;4;4;VT;
LM-ST_0;S3S·0;4;4;VT;
LM-ST_A;S3S·a;4;4;VT;
LM-ST_B;S3S·b;4;4;VT;
LM-ST_C;S3S·c;4;4;VT;
LM-ST_D;S3S·d;4;4;VT;
LM-ST_E;S3S·e;4;4;VT;
LM-ST_F;S3F·¤ & IO·¤;4;3;VT;
LM-ST_H;S3E·e & S3F·¤;4;4;VT;
LM-ST_J;TV·ghijk & IO·¤;4;2;VT;
LM-VT_0;VT·0;4;4;VT;
LM-VT_A;VT·a;4;4;VT;
LM-VT_B;VT·b;4;4;VT;
LM-VT_E;VT·c;4;4;VT;
LM-DL_0;DL·0;4;3;VT;
LM-DL_a;DL·a;4;4;VT;
LM-DL_b;DL·b;4;3;VT;
LM-DL_c;DL·b;4;2;VT;
LM-DL_d;DL·c;4;4;VT;
LM-DL_e;DL·d;4;4;VT;
LM-DL_y;DL·e+;4;4;VT;
LM-FI_0;S3F·0;4;3;VT;
LM-FI_a;S3F·a;4;4;VT;
LM-FI_b;S3F·b;4;4;VT;
LM-FI_c;S3F·c;4;4;VT;
LM-FI_d;S3F·¤;2;4;VT;
LM-FI_y;S3F·¤;1;4;VT;
LM-GS_0;GS·0;4;4;VT;
LM-GS_a;GS·a;4;4;VT;
LM-GS_b;GS·b;4;4;VT;
LM-GS_c;GS·c;4;4;VT;
LM-GS_d;GS·d;4;4;VT;
LM-GS_y;GS·¤;4;4;VT;
LM-HF_0;HF·0;4;4;VT;
LM-HF_a;HF·a;4;2;VT;
LM-HF_b;HF·a;4;2;VT;
LM-HF_c;HF·a;4;2;VT;
LM-HF_d;HF·b;4;4;VT;
LM-HF_z;HF·+;4;4;VT;
LM-HU_0;HU·0;4;4;VT;
LM-HU_a;HU·a;4;4;VT;
LM-HU_b;HU·b;4;4;VT;
LM-HU_c;HU·c;4;4;VT;
LM-HU_y;HU·d;4;4;VT;
LM-IF_0;IF·0;4;4;VT;
LM-IF_a;IF·a;4;4;VT;
LM-IF_b;IF·b;4;4;VT;
LM-IF_y;IF·¤;4;4;VT;
LM-JF_0;JF·0;4;4;VT;
LM-JF_a;JF·a;4;4;VT;
LM-JF_b;JF·b;4;4;VT;
LM-JV_0;JV·0;4;4;VT;
LM-JV_a;JV·a;4;4;VT;
LM-JV_b;JV·b;4;4;VT;
LM-JV_c;JV·c;4;4;VT;
LM-JV_d;JV·d;4;4;VT;
LM-JV_e;JV·e;4;4;VT;
LM-JV_y;JV·¤;4;4;VT;
LM-KA_a;KA·a;4;4;VT;
LM-KA_b;KA·b;4;4;VT;
LM-KA_c;KA·c;4;4;VT;
LM-KA_d;KA·d;4;4;VT;
LM-KA_e;KA·e;4;4;VT;
LM-KA_f;KA·f;4;4;VT;
LM-KA_g;KA·g;4;4;VT;
LM-KA_h;KA·h;4;4;VT;
LM-KA_i;KA·i;4;4;VT;
LM-KA_j;AS·a;4;4;VT;
LM-KI_0;KI·0;4;4;VT;
LM-KI_a;KI·a;4;4;VT;
LM-KI_b;KI·b;4;4;VT;
LM-KI_c;KI·c;4;4;VT;
LM-KI_d;KI·d;4;4;VT;
LM-KI_e;KI·e;4;4;VT;
LM-KI_y;KI·¤;4;4;VT;
LM-MF_a;MF·c;4;4;VT;
LM-MF_b;MF·d;4;4;VT;
LM-MF_c;MF·e;4;4;VT;
LM-MF_d;MF·f;4;4;VT;
LM-NG_0;NG·0;4;4;VT;
LM-NG_a;NG·a;4;4;VT;
LM-NG_b;NG·b;4;4;VT;
LM-NG_c;NG·c;4;4;VT;
LM-NG_d;NG·d;4;4;VT;
LM-NG_y;NG·¤;4;4;VT;
LM-OF_0;OF·0;4;3;VT;
LM-OF_a;OF·0;4;2;VT;
LM-OF_b;OF·a;4;3;VT;
LM-OF_c;OF·a;4;2;VT;
LM-OF_d;OF·b;4;3;VT;
LM-OF_y;OF·b;4;1;VT;
LM-OM_0;OF·0;4;4;VT;
LM-OM_a;OF·a;4;4;VT;
LM-OM_b;OF·b;4;4;VT;
LM-OM_y;OF·y;4;4;VT;
LM-OR_0;OR·0;4;4;VT;
LM-OR_a;OR·a;4;4;VT;
LM-OR_b;OR·b;4;4;VT;
LM-OR_c;OR·c;4;4;VT;
LM-RU_0;RU·0;4;4;VT;
LM-SA_0;SA·0;3;4;VT;
LM-SA_a;SA·0;1;4;VT;
LM-SA_b;SA·a;2;4;VT;
LM-SA_c;SA·a;1;4;VT;
LM-SA_d;SA·b;4;4;VT;
LM-SA_e;SA·c;4;4;VT;
LM-SA_f;SA·d;4;4;VT;
LM-SA_g;SA·e;4;4;VT;
LM-SA_h;SA·f;4;4;VT;
LM-SA_z;SA·+;4;4;VT;
LM-SE_0;SE·0;4;4;VT;
LM-SE_a;SE·a;4;4;VT;
LM-SE_b;SE·b;4;4;VT;
LM-SE_y;SE·¤;4;4;VT;
LM-SF_0;SF·0;4;4;VT;
LM-SF_a;SF·a;4;4;VT;
LM-SF_b;SF·b;4;4;VT;
LM-SF_y;SF·¤;4;4;VT;
LM-SM_0;SM·0;4;4;VT;
LM-SM_a;SM·a;4;4;VT;
LM-SM_b;SM·b;4;4;VT;
LM-SM_c;SM·c;4;4;VT;
LM-SM_d;SM·d;4;4;VT;
LM-SM_e;SM·e;4;4;VT;
LM-SM_f;SM·f;4;4;VT;
LM-SM_g;SM·g;4;4;VT;
LM-SM_h;SM·h;4;4;VT;
LM-SM_i;SM·i;4;4;VT;
LM-SM_z;SM·¤;4;4;VT;
LM-SS_0;SS·0;1;4;VT;
LM-SS_a;SS·a;4;4;VT;
LM-SS_b;SS·b;4;4;VT;
LM-SS_c;SS·c;4;4;VT;
LM-SS_d;SS·d;4;4;VT;
LM-SS_e;SS·e;4;4;VT;
LM-SS_f;SS·f;4;4;VT;
LM-SS_g;SS·g;4;4;VT;
LM-SS_h;SS·h;4;4;VT;
LM-SS_i;SS·i;4;4;VT;
LM-SS_j;SS·j;3;4;VT;
LM-SS_k;SS·k;3;4;VT;
LM-SS_y;SS·y;2;4;VT;
LM-SU_0;SU·0;4;3;VT;
LM-SU_a;SU·0;4;1;VT;
LM-SU_b;SU·a;4;4;VT;
LM-SU_c;SU·b;4;4;VT;
LM-SU_d;SU·c;4;4;VT;
LM-SU_y;SU·¤;4;4;VT;
LM-SV_0;SV·0;4;4;VT;
LM-SV_a;SV·a;4;4;VT;
LM-SV_b;SV·b;4;4;VT;
LM-SV_c;SV·c;4;4;VT;
LM-SV_d;SV·d;4;4;VT;
LM-SV_e;SV·e;4;4;VT;
LM-SV_f;SV·f;4;4;VT;
LM-SV_g;SV·g;4;4;VT;
LM-SV_y;SV·¤;4;4;VT;
LM-TU_0;TU·0;4;3;VT;
LM-TU_a;TU·0;4;2;VT;
LM-TU_b;TU·0;4;1;VT;
LM-TU_c;TU·a;4;3;VT;
LM-TU_y;TU·a;4;1;VT;
LM-TV_0;TV·0;4;4;VT;
LM-TV_a;TV·a;4;4;VT;
LM-TV_b;TV·b;4;4;VT;
LM-TV_c;TV·c;4;4;VT;
LM-TV_d;TV·d;4;4;VT;
LM-TV_e;TV·e;4;4;VT;
LM-TV_f;TV·f;4;4;VT;
LM-TV_g;TV·g;4;4;VT;
LM-TV_h;TV·h;4;4;VT;
LM-TV_i;TV·i;4;4;VT;
LM-TV_j;TV·j;4;4;VT;
LM-TV_k;TV·k;4;4;VT;
LM-TV_l;TV·l;4;4;VT;
LM-TV_y;TV·y;4;4;VT;
LM-UE_0;UE·0;4;4;VT;
LM-UE_a;UE·a;4;4;VT;
LM-UE_b;UE·b;4;4;VT;
LM-UE_c;UE·c;4;4;VT;
LM-UE_d;UE·d;4;4;VT;
LM-UE_e;UE·e;4;4;VT;
LM-UE_f;UE·f;4;4;VT;
LM-UE_g;UE·g;4;4;VT;
LM-UF_a;UF·0;4;4;VT;
LM-UF_b;UF·0;4;4;VT;
LM-UF_c;UF·0;4;4;VT;
LM-UF_d;UF·0;4;4;VT;
LM-UF_e;UF·0;4;4;VT;
LM-UF_f;UF·0;4;4;VT;
LM-UF_g;UF·0;4;4;VT;
LM-UF_h;UF·0;4;4;VT;
LM-VF_0;VF·0;4;4;VT;
LM-VF_a;VF·a;4;4;VT;
LM-VF_b;VF·b;4;4;VT;
LM-VF_c;VF·c;4;4;VT;
LM-VF_d;VF·d;4;4;VT;
LM-VF_e;VF·e;4;4;VT;
LM-VF_f;VF·f;4;4;VT;
LM-VF_g;VF·g;4;4;VT;
LM-VF_h;VF·h;4;4;VT;
LM-VF_y;VF·¤;4;4;VT;
LM-VI_0;VI·0;4;4;VT;
LM-VI_a;VI·a;4;4;VT;
LM-VI_b;VI·b;4;4;VT;
LM-VI_c;VI·c;4;4;VT;
LM-VI_y;VI·¤;4;4;VT;
LM-VM_0;VM·0;4;4;VT;
LM-VM_a;VM·a;4;4;VT;
LM-VM_b;VM·b;2;4;VT;
LM-VM_c;VM·b;1;4;VT;
LM-VM_z;VM·+;4;4;VT;
LM-VS_0;VS·0;4;4;VT;
LM-VS_a;VS·a;4;4;VT;
LM-VS_b;VS·b;4;3;VT;
LM-VS_c;VS·b;4;2;VT;
LM-VS_d;VS·c;4;4;VT;
LM-VS_e;VS·d;4;4;VT;
LM-VS_y;VS·¤;4;4;VT;
LM-DW_0;DK·0;4;4;VT;
LM-DW_01;DK·a;4;4;VT;
LM-DW_02;DK·b;4;4;VT;
LM-DW_03;DK·c;4;4;VT;
LM-DW_04;DK·d;4;4;VT;
LM-DW_05;DK·e;4;4;VT;
LM-DW_06;DK·f;4;4;VT;
LM-DW_07;DK·g;4;4;VT;
LM-DW_08;DK·h;4;4;VT;
LM-DW_09;DK·i;4;4;VT;
LM-DW_10;DK·j;4;4;VT;
LM-DW_11;DK·k;4;4;VT;
LM-DW_12;DK·l;4;4;VT;
LM-DW_13;DK·m;4;4;VT;
LM-DW_14;DK·n;4;4;VT;
LM-DW_15;DK·o;4;4;VT;
LM-DW_16;DK·p;4;4;VT;
LM-DW_17;DK·q;4;4;VT;
LM-DW_18;DK·r;4;4;VT;
LM-DW_19;DK·s;4;4;VT;
LM-DW_20;DK·t;4;4;VT;
LM-DW_21;DK·u;4;4;VT;
LM-DW_22;DK·v;4;4;VT;
LM-DW_23;DK·w;4;4;VT;
LM-DW_24;DK·x;4;4;VT;
LM-DW_25;DK·y;4;4;VT;
LM-DW_26;DK·¤;4;4;VT;
KM-BA_KA;7SN-BE;4;4;VT;
KM-BA_KB;7SN-HJ;4;4;VT;
KM-BA_KC;7SN-IN;4;4;VT;
KM-BA_KD;7SN-BR;4;4;VT;
KM-BA_KE;7SN-SN;4;4;VT;
KM-BA_KF;7SN-SO;4;4;VT;
KM-BA_KG;7SN-VI;4;4;VT;
KM-BA_KH;7SN-TF;4;4;VT;
KM-BA_KU;7SN-XF;4;4;VT;
TF-RA_a;KLG-REIA-1;4;4;VT;
TF-RA_b;KLG-REIA-2;4;4;VT;
TF-RA_c;KLG-REIA-3;4;4;VT;
TF-RA_d;KLG-REIA-4;4;4;VT;
TF-RA_e;KLG-REIA-5;4;4;VT;
TF-RD_a;KLG-REIDKF-1;4;4;VT;
TF-RD_b;KLG-REIDKF-2;4;4;VT;
TF-RD_c;KLG-REIDKF-3;4;4;VT;
TF-RD_d;KLG-REIDKF-4;4;4;VT;
TF-RK_a;KLG-REIA-1;4;4;VT;
TF-RK_b;KLG-REIA-2;4;4;VT;
TF-RK_c;KLG-REIA-3;4;4;VT;
RM-AI_0;KLG-AI-1,AIKS-1;1;4;VT;
RM-AI_a;KLG-AI-1,AIKS-1;2;4;VT;
RM-AI_b;KLG-AI-2,AIKS-1;4;4;VT;
RM-AI_c;KLG-AI-3,AIKS-2;4;4;VT;
RM-AI_d;KLG-AI-4,AIKS-3;3;4;VT;
RM-AI_e;KLG-AI-4,AIKS-3;0;4;VT;
RM-JP_0;KLG-JP-1;1;4;VT;
RM-JP_a;KLG-JP-1;2;4;VT;
RM-JP_b;KLG-JP-2;4;4;VT;
LM-BM_E;7FA;;;VT;
LM-HR_A;HR·0 & SP·0;4;4;VT;
LM-HR_B;HR·0;4;2;VT;
LM-HR_C;HR·0 & SP·a;4;4;VT;
LM-HR_D;HR·a;4;4;VT;
LM-MS_A;SX·f;4;2;VT;
LM-MS_B;SX·f;4;2;VT;
LM-MS_C;SX·f;4;2;VT;
LM-MS_D;SX·f;4;2;VT;
LM-MS_E;SX·f;4;2;VT;
LM-MS_F;SX·f;4;2;VT;
LM-MS_G;SX·f;4;2;VT;
LM-MS_H;SX·f;4;2;VT;
LM-MS_I;SX·f;4;2;VT;
LM-MS_J;SX·f;4;2;VT;
LM-MT_A;SX·h;4;3;VT;
LM-MT_B;SX·h;4;2;VT;
LM-MT_C;SX·h;4;1;VT;
LM-MT_D;SX·h;4;1;VT;
LM-MT_E;SX·e;4;4;VT;
LM-MT_F;SX·g;4;1;VT;
LM-MT_G;SX·g;4;2;VT;
LM-MT_H;SX·g;4;2;VT;
LM-MT_I;SX·g;4;2;VT;
LM-MT_J;SX·g;4;1;VT;
LM-MT_K;SX·f;4;1;VT;
LM-MT_L;SX·f;4;1;VT;
LM-MT_M;SX·f;4;3;VT;
LM-MT_N;SX·f;4;2;VT;
LM-MV_A;SX·n;4;4;VT;
LM-MV_B;SX·m;4;4;VT;
LM-MV_C;SX·o;4;1;VT;
LM-MV_D;SX·o;4;1;VT;
LM-MV_E;SX·o;4;3;VT;
LM-MV_F;SX·o;4;3;VT;
LM-MY_A;SX·ac;4;3;VT;
LM-MY_B;SX·ac;4;1;VT;
LM-MY_C;SX·bd;4;3;VT;
LM-MY_D;SX·bd;4;1;VT;
LM-MY_E;SX·bd;4;1;VT;
LM-MY_F;SX·bd;4;1;VT;
LM-KP_KA;7RA-BH;;;VT;
LM-KP_KB;7RA-JB;;;VT;
LM-KP_KC;7RA-JB;;;VT;
LM-KP_KD;7RA-JB;;;VT;
LM-KP_KE;7RA-US;;;VT;
LM-KP_KG;7GR;;;VT;
LM-KP_KH;7VR;;;VT;
LM-KP_KI;7VR;;;VT;
LM-KP_KJ;7VR;;;VT;
LM-KP_KK;7VR;;;VT;
LM-KP_KM;7SB-FT-MA;4;1;VT;
LM-KP_KO;7EU;;;VT;
LM-HG_0;HI·0ab;4;3;VT;
LM-HG_a;HI·cd;2;1;VT;
LM-HG_b;HI·e;2;2;VT;
LM-HG_c;HI·fgh;3;2;VT;
LM-HG_y;HI·i;3;3;VT;
LM-HH_0;HI·0;4;4;VT;
LM-HH_a;HI·a;4;4;VT;
LM-HH_b;HI·bcde;4;4;VT;
LM-HH_c;HI·fg;4;4;VT;
LM-HH_y;HI·hi;4;4;VT;
LM-HM_0;HI·0ab;4;4;VT;
LM-HM_a;HI·cde;3;3;VT;
LM-HM_b;HI·cdef;2;2;VT;
LM-HM_c;HI·fgh;3;3;VT;
LM-HM_d;HI·fgh;3;3;VT;
LM-HM_y;HI·hi;3;3;VT;
KM-MG_KB;7MG-OM;2;4;VT;
KM-MG_KC;7MG-OL;4;4;VT;
KM-MG_KD;7MG-RF;4;4;VT;
KM-MG_KE;7MG-OM;1;4;VT;
KM-MG_KF;7EU;4;4;VT;
KM-MG_KG;7MG-UO;2;4;VT;
KM-MG_KH;7MG-UO;1;4;VT;
KM-MG_KI;7SU;4;4;VT;
KM-MG_KU;7MG-XF;3;4;VT;
KM-AJ_KA;7JB-VA;4;4;VT;
KM-AJ_KB;7JB-BR;4;4;VT;
KM-AJ_KC;7JB-SU;4;4;VT;
KM-AJ_KH;7JB-GJ;4;4;VT;
KM-AS_KB;7SB-KA;4;4;VT;
KM-HG_KA;7SB-HI-LG-GH;2;4;VT;
KM-HG_KB;7SB-HI-LG-KH;2;4;VT;
KM-HG_KC;7SB-HI-LG-SH;2;4;VT;
KM-HG_KU;7SB-HI-LG-0;2;4;VT;
KM-HI_KA;7SB-HI-IH-FR;2;4;VT;
KM-HI_KB;7SB-HI-IH-FT;2;4;VT;
KM-HI_KC;7SB-HI-IH-HT;2;4;VT;
KM-HI_KD;7SB-HI-IH-MA;2;4;VT;
KM-HI_KE;7SB-HI-GR;2;4;VT;
KM-HI_KU;7SB-HI-IH-0;2;4;VT;
KM-HS_KA;7SB-HI-LS-PH;4;4;VT;
KM-HS_KC;7SB-HI-LS-KH;4;4;VT;
KM-HS_KU;7SB-HI-LS-0;4;4;VT;
KM-HY_KA;7SB-HI-ÅP-FH;4;4;VT;
KM-HY_KB;7SB-HI-ÅP-SH;4;4;VT;
KM-HY_KU;7SB-HI-ÅP-0;4;4;VT;
KM-SF_K0;7SB-FT-NF;4;4;VT;
KM-SF_KA;7SB-FT-MA;4;4;VT;
KM-SF_KB;7SB-FT-TS;4;4;VT;
KM-UM_KA;7SB-UT-UG;4;4;VT;
KM-UM_KB;7SB-UT-US;4;4;VT;
KM-UM_KC;7SB-UT-UT;4;4;VT;
KM-UM_KD;7SB-UT-XH;4;4;VT;
KM-KP_KB;7GR;;;VT;
KM-KP_KC;7VR;;;VT;
KM-KP_KD;7VR;;;VT;
KM-KP_KE;7EU;;;VT;
