Kortkode;forrigekode;FP;SP;Klasse;url
LM-KA;KA;3;4;VN;
LM-HR;HR;4;4;VN;
KM-HS;7SB-LS;4;4;VN;
NO-L3;4DL-ML-L;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/4DL-ML-L
RA-MB-JUNIcomm;1AE-MB-JUNIcomm-S;4;4;VN;
RA-MB-JUNIcomm;1AE-MB-JUNIcomm-0;4;4;VN;
SA-TT;1AG-0;4;4;VN;
SA-AB;1AR-A-B;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-A-B
SA-AD;1AR-A-0;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-A-0
NO-RV;4RV-0;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/4RV-0
RM-PI;KY;;;VN;
RM-PI;DM;;;VN;
RM-BA;6KE;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/6KE
RM-BP;KLG-BP;;;VN;
RM-FF;KLG-IYK;2;2;VN;
RM-IP;KLG-IYK;2;2;VN;
RM-KY;KLG-KA;3;3;VN;
RM-MS;6KO;3;3;VN;
RM-SE;6SE;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/6SE
RM-SO;6SO;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/6SX
RM-SO;6SX;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/6SX
RM-VP;KLG-VP;4;4;VN;
RM-YK;KLG-IYK;;;VN;
LM-BK;BK;4;4;VN;
LM-DK;DK;;;VN;
LM-FK;FK;;;VN;
LM-HV;KY;;;VN;
LM-HV;DM;;;VN;
LM-OV;FR;;;VN;
LM-DL;DL;;;VN;
LM-GS;GS;;;VN;
LM-HF;HF;;;VN;
LM-HU;HU;;;VN;
LM-IF;IF;;;VN;
LM-JF;JF;;;VN;
LM-JV;JV;;;VN;
LM-KA;KA;;;VN;
LM-KI;KI;;;VN;
LM-MF;MF;;;VN;
LM-NG;NG;;;VN;
LM-OF;OF;;;VN;
LM-OM;OM;;;VN;
LM-OR;OR;;;VN;
LM-RU;RU;;;VN;
LM-SA;SA;;;VN;
LM-SE;SE;;;VN;
LM-SF;SF;;;VN;
LM-SM;SM;;;VN;
LM-SS;SS;;;VN;
LM-SU;SU;;;VN;
LM-SV;SV;;;VN;
LM-TU;TU;;;VN;
LM-TV;TV;;;VN;
LM-UE;UE;;;VN;
LM-UF;UF;;;VN;
LM-VF;VF;;;VN;
LM-VI;VI;;;VN;
LM-VM;VM;;;VN;
LM-VS;VS;;;VN;
KM-BA;7SN;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SN
TF-RA;KLG-REIA;;;VN;
TF-RD;KLG-REIDKF;;;VN;
TF-RK;KLG-REIA;;;VN;
TF-EK;8ER;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/8ER
TF-RR;8RR;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/8RR
TF-TH;8TH;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/8TH
TF-TK;8TP;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/8TP
TF-TU;8TP;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/8TP
RS-FI;9AR;4;4;VN;
RS-NE;9NE;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/9NE
RS-TE;9TE;4;4;VN;
RS-VA;9VA;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/9VA
RS-VD;9VD;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/9VD
MD-BK;3BF-KB;4;4;VN;
MO-DE;5KU-AR-DA;2;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-DA
MO-ED;5AB-DO-FY;1;2;VN;
MO-ED;ST;1;2;VN;
MO-EI;5KU-AR-BR;4;1;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-BR
MO-EL;5XG-SM;0;4;VN;
MO-EM;5BY-IL-EF;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY-IL-EF
MO-ES;5XG-ST;1;4;VN;
MO-II;5BY-SK-FY;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY-SK-FY
MO-IL;5XG-SM;1;4;VN;
MO-IM;5KU-AR-KA;4;2;VN;
MO-IM;MO;4;2;VN;
MO-IS;5KU-FA;2;3;VN;
MO-IS;5XG-ST;2;3;VN;
MO-MA;5KU-AR-DA;1;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-DA
MO-BB;5KU-BE;4;0;VN;
MO-BG;5KU-AR-GA;4;2;VN;
MO-BG;HT;4;2;VN;
MO-BG;MØ;4;2;VN;
MO-BG;NT;4;2;VN;
MO-BG;RU;4;2;VN;
MO-BG;SA;4;2;VN;
MO-BG;TU;4;2;VN;
MO-BR;5KU-AR-BV;4;1;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-BV
MO-BS;5BY;0;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-SB
MO-BS;5KU-AR-SB;0;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-SB
MO-BT;5BY;1;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY
MO-BX;5BY;1;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY
MO-FE;5BY-IL-VM;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY-SK-AN
MO-FE;5BY-SK-AN;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY-SK-AN
MO-GJ;5KU-AR-LG;4;1;VN;
MO-GJ;SP;4;1;VN;
MO-GK;5KU-AR-KN;4;0;VN;
MO-GK;VO;4;0;VN;
MO-GR;5KU-AR-FA;4;1;VN;
MO-GR;SY;4;1;VN;
MO-GT;5AB-DO-GU;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-GU
MO-GT;5KU-AR-GU;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5KU-AR-GU
MO-HA;5KU-AR-GÅ;4;1;VN;
MO-HA;KU;4;1;VN;
MO-KR;5AB-TO-KL;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5AB-TO-KL
MO-MU;5AB-DO-GR;2;3;VN;
MO-MU;LT;2;3;VN;
MO-MU;ST;2;3;VN;
MO-MU;TT;2;3;VN;
MO-RG;5AB-TO-RG;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5AB-TO-RG
MO-SG;5KU-AR-LG;4;3;VN;
MO-SG;SG;4;3;VN;
MO-SH;5KU-AR-DE;4;2;VN;
MO-SH;GR;4;2;VN;
MO-SH;RY;4;2;VN;
MO-SK;5AB-JB;4;4;VN;
MO-TD;5AB-DO-FY;2;3;VN;
MO-TD;ST;2;3;VN;
MO-TD;TØ;2;3;VN;
MO-TL;5BY;1;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5BY
MO-TM;5AB-FO;1;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/5AB-FO
MO-TS;5XG-SM;0;4;VN;
MO-VF;5AB-TO-VE;2;2;VN;
MO-VF;VF;2;2;VN;
MO-VF;VG;2;2;VN;
MO-VF;VK;2;2;VN;
MO-VF;VR;2;2;VN;
MO-VL;5AB-TO-VK;2;2;VN;
MO-VL;VP;2;2;VN;
MO-VL;VS;2;2;VN;
RM-AI;KLG-KLG-AI;4;4;VN;
RM-AI;AIKS;4;4;VN;
RM-JP;KLG-JP;4;4;VN;
LM-MK;SY·b;4;3;VN;
LM-MK;MK;4;3;VN;
LM-KR;SY·b;4;3;VN;
LM-KR;MK;4;3;VN;
KM-MG;7MG;4;2;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7MG
KM-AJ;7JB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7JB
KM-HG;7SB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB
KM-HI;7SB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB
KM-HS;7SB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB
KM-HY;7SB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB
KM-SF;7SB-FT;;;VN;
KM-UM;7SB;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB
KM-KR;SY·b;4;3;VN;
KM-KR;MK;4;3;VN;
KM-OB;7OB;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7OB
KM-SE;7SE;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SE
KM-TK;7TK;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7TK
KM-BU;7BU;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7BU
KM-AG;7JB-GJ;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7JB-GJ
KM-AH;7JB-BA;;;VN;
KM-AH;BT;;;VN;
KM-AH;SI;;;VN;
KM-AY;7JB-SP;;;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7JB-SP
KM-BT;7JB-BT;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7JB-BT
KM-HA;7SB-HS;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/7SB-HS
SA-VE;KLG-VE;4;4;VN;
SA-AG;1AG-A-G;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-A-G
SA-AO;1AG-A-E;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-A-E
SA-AT;1AG-A-0;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-A-0
SA-AV;1AG-A-V;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-A-V
SA-BT;1AG-B;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-B
SA-CT;1AG-C;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-C
SA-DT;1AG-D;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-D
SA-ET;1AG-E;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-E
SA-FT;1AG-F;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-F
SA-GT;1AG-G;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-G
SA-HT;1AG-H;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AG-H
SA-AE;1AR-A-E;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-A-E
SA-AL;1AR-A-L;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-A-L
SA-AP;1AR-A-V;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-A-V
SA-BB;1AR-B-B;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-B-B
SA-BE;1AR-B-E;4;4;VN;https://nin-kode-api.artsdatabanken.no/v2.3/variasjon/hentkode/1AR-B-E
