M005-kode;grunntype_kode;M005-navn;Grunntypenavn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01-01;beskyttet fast saltvanns-fjærebeltebunn i hydro- til geollittoral;grisetangbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01-02;;grønnalge-spiraltangbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01-03;;grønnalge-rurbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;M-A-01-04;moderat eksponert fast saltvanns-fjærebeltebunn i hydro- til geollittoral;blæretangbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;M-A-01-05;;spiraltangbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;M-A-01-06;;sauetang-blåskjell-rurbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;M-A-01-07;ganske til svært eksponert fast saltvanns-fjærebeltebunn i hydro- til geollittoral;remtangbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;M-A-01-08;;strandsnegl-blåskjellbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;M-A-01-09;;strandsnegl-blåskjell-rurbunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-04;M-A-01-10;trådalgedominert fast saltvanns-fjærebeltebunn;trådalgedominert fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01-11;beskyttet marin bergvegg i hydrolittoral;beskyttet marin bergvegg i hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01-12;;beskyttet marin bergvegg i geolittoral
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;M-A-01-13;moderat eksponert bergvegg i fjærebeltet;moderat eksponert bergvegg i fjærebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-01;M-A-02-01;beskyttet fast saltvannsbunn og bergvegg ovenfor rødalgebeltet;beskyttet fast saltvannsbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-02;M-A-02-02;sagtang-saltvannsbunn;sagtang-saltvannsbunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-03;M-A-02-03;fingertarebunn;fingertarebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-04;M-A-02-04;trådalgedominert saltvanns-fastbunn;trådalgedominert saltvanns-fastbunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-05;M-A-02-05;sukkertarebunn;sukkertarebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-06;M-A-02-06;stortarebunn;stortarebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-07;M-A-02-07;butarebunn;butarebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-08;M-A-02-08;ekstremt eksponert fast eufotisk saltvannsbunn;ekstremt eksponert fast eufotisk saltvannsbunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;M-A-02-09;beskyttet saltvannsbunn og bergvegg i rødalgebeltet;beskyttet saltvanns rødalgebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-10;M-A-02-10;moderat eksponert saltvanns-rødalgebunn;moderat eksponert rødalgebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-11;M-A-02-11;ganske til svært eksponert saltvanns-rødalgebunn;ganske til svært eksponert rødalgebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M005-01;M-A-02-12;;beskyttet bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;M-A-02-13;;beskyttet bergvegg i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-12;M-A-02-17;moderat til ganske eksponert fast saltvannsbunn med store hulrom ovenfor rødalgebeltet;moderat til ganske eksponert fastbunn med store hulrom ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-13;M-A-02-18;moderat til ganske eksponert fast saltvannsbunn med store hulrom i rødalgebeltet;moderat til ganske eksponert fastbunn med store hulrom i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M005-14;M-A-02-19;svært til ekstremt eksponert eufotisk fast saltvannsbunn med store hulrom;svært til ekstremt eksponert eufotisk saltvanns-fastbunn med store hulrom
NiN-3.0-T-C-PE-NA-MB-MA03-M005-01;M-A-03-01;beskyttet afotisk fastbunn i kystvann;beskyttet afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-02;M-A-03-02;moderat eksponert afotisk fastbunn i kystvann;moderat eksponert afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-03;M-A-03-03;ganske eksponert afotisk fastbunn i kystvann;ganske eksponert afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-04;M-A-03-04;beskyttet afotisk fastbunn i atlantisk vann;beskyttet afotisk fastbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-05;M-A-03-05;litt beskyttet til litt eksponert afotisk fastbunn i atlantisk vann;litt beskyttet til litt eksponert afotisk fastbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-06;M-A-03-06;beskyttet fastbunn i intermediært vann;beskyttet fastbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-07;M-A-03-07;litt beskyttet til litt eksponert fastbunn i intermediært vann;litt beskyttet til litt eksponert fastbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-08;M-A-03-08;beskyttet fastbunn i dyphavsvann;beskyttet fastbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-09;M-A-03-09;litt beskyttet til litt eksponert fastbunn i dyphavsvann;litt beskyttet til litt eksponert fastbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-10;M-A-03-10;beskyttet afotisk fastbunn i arktisk vann;beskyttet afotisk fastbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M005-11;M-A-03-11;litt beskyttet til litt eksponert afotisk fastbunn i arktisk vann;litt beskyttet til litt eksponert afotisk fastbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA04-M005-01;M-A-04-01;finmaterialfattig uorganisk marin sandbunn i nedre vannstrandbelte;finmaterialfattig overveiende uorganisk marin sandbunn i nedre hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-02;M-A-04-02;finmaterialfattig uorganisk marin grusbunn i nedre vannstrandbelte;finmaterialfattig overveiende uorganisk marin grusbunn i nedre  hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-03;M-A-04-03;finmaterialfattig uorganisk marin steinbunn i nedre vannstrandbelte;finmaterialfattig overveiende uorganisk marin steinbunn i nedre hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-04;M-A-04-04;noe finmaterialrik uorganisk marin sand- og grusbunn i nedre vannstrandbelte;noe finmaterialrik overveiende uorganisk marin sand- til grusbunn i nedre hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-05;M-A-04-05;finmaterialrik til -dominert uorganisk marin leire- og siltbunn i hydrolittoral til nederste geolittoral;finmaterialrik til -dominert overveiende uorganisk marin leire- og siltbunn i hydrolittoral til nederste geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-06;M-A-04-06;finmaterialfattig uorganisk marin sandbunn i øvre vannstrandbelte til midtre landstrandbelte;finmaterialfattig overveiende uorganisk marin sandbunn i øvre hydrolittoral til nederste geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-06;M-A-04-07;;finmaterialfattig overveiende uorganisk marin sandbunn i nedre til midtre geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-07;M-A-04-08;finmaterialfattig uorganisk marin grusbunn i øvre vannstrandbelte til marint landstrandbelte;finmaterialfattig overveiende uorganisk marin grusbunn i øvre hydrolittoral til midtre geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-08;M-A-04-09;finmaterialfattig uorganisk marin steinbunn i øvre vannstrandbelte til midtre landstrandbelte;finmaterialfattig overveiende uorganisk marin steinbunn i øvre hydrolittoral til midtre geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-09;M-A-04-10;noe finmaterialrik uorganisk marin sand- og grusbunn i øvre vannstrandbelte til midtre landstrandbelte;noe finmaterialrik overveiende uorganisk marin sand- til grusbunn i øvre hydrolittoral til midtre geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-10;M-A-04-11;finmaterialfattig skjellsand-ruglbunn i hydrolittoral;finmaterialfattig skjellsand-ruglbunn i hydrolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M005-11;M-A-04-12;fjærebeltebunn av konsolidert leire;fjærebeltebunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA05-M005-01;M-A-05-01;finmaterialfattig uorganisk saltvanns-sandbunn ovenfor rødalgebeltet;finmaterialfattig overveiende uorganisk saltvanns-sandbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-02;M-A-05-02;finmaterialfattig uorganisk saltvanns-grusbunn ovenfor rødalgebeltet;finmaterialfattig overveiende uorganisk saltvanns-grusbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-03;M-A-05-03;finmaterialfattig uorganisk saltvanns-steinbunn ovenfor rødalgebeltet;finmaterialfattig overveiende uorganisk saltvanns-steinbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-04;M-A-05-04;noe finmaterialrik uorganisk saltvanns-sandbunn ovenfor rødalgebeltet;noe finmaterialrik overveiende uorganisk saltvanns-sandbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-05;M-A-05-05;noe finmaterialrik uorganisk saltvanns-grusbunn ovenfor rødalgebeltet;noe finmaterialrik overveiende uorganisk saltvanns-grusbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-06;M-A-05-06;finmaterialrik til -dominert uorganisk saltvanns-sedimentbunn av leire og silt ovenfor rødalgebeltet;finmaterialrik til -dominert overveiende uorganisk saltvanns-sedimentbunn av leire og silt ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-07;M-A-05-07;finmaterialfattig uorganisk saltvanns-sandbunn i rødalgebeltet;finmaterialfattig overveiende uorganisk saltvanns-sandbunn i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-08;M-A-05-08;finmaterialfattig uorganisk saltvanns-grusbunn i rødalgebeltet;finmaterialfattig overveiende uorganisk saltvanns-grusbunn i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-09;M-A-05-09;noe finmaterialrik uorganisk saltvanns-sandbunn i rødalgebeltet;noe finmaterialrik overveiende uorganisk saltvanns-sandbunn i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-10;M-A-05-10;noe finmaterialrik uorganisk saltvanns-grusbunn i rødalgebeltet;noe finmaterialrik overveiende uorganisk saltvanns-grusbunn i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-11;M-A-05-11;finmaterialrik til -dominert saltvanns-sedimentbunn av leire og silt i rødalgebeltet;finmaterialrik til -dominert saltvanns-sedimentbunn av leire og silt i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA05-M005-12;M-A-05-12;eufotisk saltvanns-skjellsandbunn;eufotisk saltvanns-skjellsandbunn
NiN-3.0-T-C-PE-NA-MB-MA05-M005-12;M-A-05-13;ruglbunn;ruglbunn
NiN-3.0-T-C-PE-NA-MB-MA05-M005-13;M-A-05-14;eufotisk saltvanns-sedimentbunn av myrtorv;eufotisk saltvanns-sedimentbunn av myrtorv
NiN-3.0-T-C-PE-NA-MB-MA05-M005-14;M-A-05-15;eufotisk saltvanns-sedimentbunn av dy- og gytje;eufotisk saltvanns-sedimentbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-MA05-M005-15;M-A-05-16;eufotisk saltvanns-sedimentbunn av konsolidert leire;eufotisk saltvanns-sedimentbunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA06-M005-01;M-A-06-01;afotisk finmaterialfattig uorganisk sandbunn i kystvann;afotisk finmaterialfattig overveiende uorganisk sandbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-02;M-A-06-02;afotisk finmaterialfattig uorganisk grusbunn i kystvann;afotisk finmaterialfattig overveiende uorganisk grusbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-03;M-A-06-03;afotisk noe finmaterialrik uorganisk sandbunn i kystvann;afotisk noe finmaterialrik overveiende uorganisk sandbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-04;M-A-06-04;afotisk noe finmaterialrik uorganisk grusbunn i kystvann;afotisk noe finmaterialrik overveiende uorganisk grusbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-05;M-A-06-05;afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann;afotisk finmaterialrik til dy- og gytjebunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-06;M-A-06-06;afotisk finmaterialfattig uorganisk sandbunn i atlantisk vann;afotisk finmaterialfattig overveiende uorganisk sandbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-07;M-A-06-07;afotisk finmaterialfattig uorganisk grusbunn i atlantisk vann;afotisk finmaterialfattig overveiende uorganisk grusbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-08;M-A-06-08;afotisk noe finmaterialrik uorganisk sandbunn i atlantisk vann;afotisk noe finmaterialrik overveiende uorganisk sandbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-09;M-A-06-09;afotisk noe finmaterialrik uorganisk grusbunn i atlantisk vann;afotisk noe finmaterialrik overveiende uorganisk grusbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-10;M-A-06-10;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M005-11;M-A-06-11;finmaterialfattig uorganisk sandbunn i intermediært vann;finmaterialfattig overveiende uorganisk sandbunn i intermediært vann
