M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-IA01-M005-01;NA-IA01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-02;NA-IA01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-03;NA-IA01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-04;NA-IA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-01;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-02;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-03;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-04;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-05;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-06;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-07;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-08;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-09;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-10;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-11;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-12;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-13;NA-LA01
NiN-3.0-T-C-PE-NA-MB-LA02-M005-01;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-02;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-03;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-04;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-07;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-08;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-09;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-10;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-11;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-12;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-13;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-14;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-15;NA-LA02
NiN-3.0-T-C-PE-NA-MB-LA03-M005-01;NA-LA03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-02;NA-LA03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-03;NA-LA03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-04;NA-LA03
NiN-3.0-T-C-PE-NA-MB-LB01-M005-01;NA-LB01
NiN-3.0-T-C-PE-NA-MB-LB01-M005-02;NA-LB01
NiN-3.0-T-C-PE-NA-MB-LB01-M005-03;NA-LB01
NiN-3.0-T-C-PE-NA-MB-LB02-M005-01;NA-LB02
NiN-3.0-T-C-PE-NA-MB-LB02-M005-02;NA-LB02
NiN-3.0-T-C-PE-NA-MB-LB02-M005-03;NA-LB02
NiN-3.0-T-C-PE-NA-MB-LC01-M005-01;NA-LC01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-02;NA-LC01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-03;NA-LC01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-04;NA-LC01
