M020-langkode;M020-navn;M020-kortkode
NiN-3.0-T-C-PE-NA-MB-IA01-M020-01;varig snø og breoverflate;IA01-M020-01
NiN-3.0-T-C-PE-NA-MB-IA01-M020-02;polar havis-overside;IA01-M020-02
NiN-3.0-T-C-PE-NA-MB-LA01-M020-01;svært kalkfattig fast strandkant-innsjøbunn;LA01-M020-01
NiN-3.0-T-C-PE-NA-MB-LA01-M020-02;noe kalkfattig fast strandkant-innsjøbunn;LA01-M020-02
NiN-3.0-T-C-PE-NA-MB-LA01-M020-03;moderat kalkrik fast strandkant-innsjøbunn;LA01-M020-03
NiN-3.0-T-C-PE-NA-MB-LA01-M020-04;svært kalkrik fast strandkant-innsjøbunn;LA01-M020-04
NiN-3.0-T-C-PE-NA-MB-LA01-M020-05;turbid eufotisk fast innsjøbunn;LA01-M020-05
NiN-3.0-T-C-PE-NA-MB-LA02-M020-01;svært kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M020-01
NiN-3.0-T-C-PE-NA-MB-LA02-M020-02;noe kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M020-02
NiN-3.0-T-C-PE-NA-MB-LA02-M020-03;kalkfattig innsjø-sedimentbunn av blokker i strandkant og karplantebeltet;LA02-M020-03
NiN-3.0-T-C-PE-NA-MB-LA02-M020-04;moderat kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M020-04
NiN-3.0-T-C-PE-NA-MB-LA02-M020-05;svært kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M020-05
NiN-3.0-T-C-PE-NA-MB-LA02-M020-06;kalkrik innsjø-sedimentbunn av leire i strandkant og karplantebelte;LA02-M020-06
NiN-3.0-T-C-PE-NA-MB-LA02-M020-07;kalkrik innsjø-sedimentbunn av blokker i strandkant og karplantebeltet;LA02-M020-07
NiN-3.0-T-C-PE-NA-MB-LA02-M020-08;turbid innsjø-sedimentbunn;LA02-M020-08
NiN-3.0-T-C-PE-NA-MB-LA03-M020-01;svært kalkfattig afotisk innsjøbunn;LA03-M020-01
NiN-3.0-T-C-PE-NA-MB-LA03-M020-02;noe kalkfattig afotisk innsjøbunn;LA03-M020-02
NiN-3.0-T-C-PE-NA-MB-LA03-M020-03;kalkrik afotisk innsjøbunn;LA03-M020-03
NiN-3.0-T-C-PE-NA-MB-LB01-M020-01;kalkfattig helofytt-ferskvannssump;LB01-M020-01
NiN-3.0-T-C-PE-NA-MB-LB01-M020-02;moderat kalkrik helofytt-ferskvannssump;LB01-M020-02
NiN-3.0-T-C-PE-NA-MB-LB01-M020-03;svært kalkrik helofytt-ferskvannssump;LB01-M020-03
NiN-3.0-T-C-PE-NA-MB-LB02-M020-01;kalkfattig undervannseng i innsjø;LB02-M020-01
NiN-3.0-T-C-PE-NA-MB-LB02-M020-02;moderat kalkrik undervannseng i innsjø;LB02-M020-02
NiN-3.0-T-C-PE-NA-MB-LB02-M020-03;svært kalkrik undervannseng i innsjø;LB02-M020-03
NiN-3.0-T-C-PE-NA-MB-LC01-M020-01;kalkfattig flarkgjøl-bunn på fast torv;LC01-M020-01
NiN-3.0-T-C-PE-NA-MB-LC01-M020-02;kalkrik flarkgjøl-bunn på fast torv;LC01-M020-02
NiN-3.0-T-C-PE-NA-MB-LC01-M020-03;høljegjøl-bunn på fast torv;LC01-M020-03
NiN-3.0-T-C-PE-NA-MB-LC02-M020-01;svært kalkfattig innsjøbunn av dy og gytje;LC02-M020-01
NiN-3.0-T-C-PE-NA-MB-LC02-M020-02;noe kalkfattig innsjøbunn av dy og gytje;LC02-M020-02
NiN-3.0-T-C-PE-NA-MB-LC02-M020-03;moderat kalkrik innsjøbunn av dy og gytje;LC02-M020-03
NiN-3.0-T-C-PE-NA-MB-LC02-M020-04;svært kalkrik innsjøbunn av dy og gytje;LC02-M020-04
NiN-3.0-T-C-PE-NA-MB-LC03-M020-01;kalkfattig innsjøbunn av grovt organisk materiale;LC03-M020-01
NiN-3.0-T-C-PE-NA-MB-LC03-M020-02;kalkrik innsjøbunn av grovt organisk materiale;LC03-M020-02
NiN-3.0-T-C-PE-NA-MB-LC04-M020-01;innsjøbunn med periodisk oksygenmangel;LC04-M020-01
NiN-3.0-T-C-PE-NA-MB-LC04-M020-02;anoksisk innsjøbunn med gammelt havvann;LC04-M020-02
NiN-3.0-T-C-PE-NA-MB-LC04-M020-03;anoksisk innsjøbunn betinget av saltholdig kildevann;LC04-M020-03
NiN-3.0-T-C-PE-NA-MB-LC04-M020-04;anoksisk innsjøbunn betinget av jernholdig vann;LC04-M020-04
NiN-3.0-T-C-PE-NA-MB-LC04-M020-05;anoksisk innsjøbunn betinget av kalkrikt vann;LC04-M020-05
NiN-3.0-T-C-PE-NA-MB-LC04-M020-06;anoksisk innsjøbunn betinget av humusrikt vann;LC04-M020-06
NiN-3.0-T-C-PE-NA-MB-LC04-M020-07;anoksisk innsjøbunn betinget av svovelrikt vann;LC04-M020-07
NiN-3.0-T-C-PE-NA-MB-LC05-M020-01;breoverflate-innsjøbunn;LC05-M020-01
NiN-3.0-T-C-PE-NA-MB-LC05-M020-02;havis-overflate-innsjøbunn;LC05-M020-02
