M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-IA01-M050-01;varig snø og breoverflate;IA01-M050-01
NiN-3.0-T-C-PE-NA-MB-IA01-M050-02;polar havis-overside;IA01-M050-02
NiN-3.0-T-C-PE-NA-MB-LA01-M050-01;svært kalkfattig fast strandkant-innsjøbunn;LA01-M050-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-02;noe kalkfattig fast strandkant-innsjøbunn;LA01-M050-02
NiN-3.0-T-C-PE-NA-MB-LA01-M050-03;moderat kalkrik fast strandkant-innsjøbunn ;LA01-M050-03
NiN-3.0-T-C-PE-NA-MB-LA01-M050-04;svært kalkrik fast strandkant-innsjøbunn;LA01-M050-04
NiN-3.0-T-C-PE-NA-MB-LA01-M050-05;turbid eufotisk fast innsjøbunn;LA01-M050-05
NiN-3.0-T-C-PE-NA-MB-LA02-M050-01;svært kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M050-01
NiN-3.0-T-C-PE-NA-MB-LA02-M050-02;noe kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M050-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-03;moderat kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M050-03
NiN-3.0-T-C-PE-NA-MB-LA02-M050-04;svært kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;LA02-M050-04
NiN-3.0-T-C-PE-NA-MB-LA02-M050-05;kalkrik innsjø-sedimentbunn av leire i strandkant og karplantebelte;LA02-M050-05
NiN-3.0-T-C-PE-NA-MB-LA02-M050-07;turbid innsjø-sedimentbunn;LA02-M050-07
NiN-3.0-T-C-PE-NA-MB-LA03-M050-01;svært kalkfattig afotisk innsjøbunn;LA03-M050-01
NiN-3.0-T-C-PE-NA-MB-LA03-M050-02;noe kalkfattig afotisk innsjøbunn;LA03-M050-02
NiN-3.0-T-C-PE-NA-MB-LA03-M050-03;kalkrik afotisk innsjøbunn;LA03-M050-03
NiN-3.0-T-C-PE-NA-MB-LB01-M050-01;kalkfattig helofytt-ferskvannssump;LB01-M050-01
NiN-3.0-T-C-PE-NA-MB-LB01-M050-02;moderat kalkrik helofytt-ferskvannssump;LB01-M050-02
NiN-3.0-T-C-PE-NA-MB-LB01-M050-03;svært kalkrik helofytt-ferskvannssump;LB01-M050-03
NiN-3.0-T-C-PE-NA-MB-LB02-M050-01;kalkfattig undervannseng i innsjø;LB02-M050-01
NiN-3.0-T-C-PE-NA-MB-LB02-M050-02;moderat kalkrik undervannseng i innsjø;LB02-M050-02
NiN-3.0-T-C-PE-NA-MB-LB02-M050-03;svært kalkrik undervannseng i innsjø;LB02-M050-03
NiN-3.0-T-C-PE-NA-MB-LC01-M050-01;myrtorv-innsjøbunn;LC01-M050-01
NiN-3.0-T-C-PE-NA-MB-LC02-M050-01;kalkfattig innsjøbunn av dy og gytje;LC02-M050-01
NiN-3.0-T-C-PE-NA-MB-LC02-M050-02;kalkrik innsjøbunn av dy og gytje;LC02-M050-02
NiN-3.0-T-C-PE-NA-MB-LC03-M050-01;innsjøbunn av grovt organisk materiale;LC03-M050-01
NiN-3.0-T-C-PE-NA-MB-LC04-M050-01;innsjøbunn med periodisk oksygenmangel;LC04-M050-01
NiN-3.0-T-C-PE-NA-MB-LC04-M050-02;anoksisk innsjøbunn;LC04-M050-02
NiN-3.0-T-C-PE-NA-MB-LC05-M050-01;breoverflate-innsjøbunn;LC05-M050-01
NiN-3.0-T-C-PE-NA-MB-LC05-M050-02;havis-overflate-innsjøbunn;LC05-M050-02
NiN-3.0-T-C-PE-NA-MB-LC06-M050-01;innsjø-sedimentbunn betinget av naturlig gjødsling;LC06-M050-01
NiN-3.0-T-C-PE-NA-MB-LG01-M050-01;ny innsjøbunn;LG01-M050-01
NiN-3.0-T-C-PE-NA-MB-LJ01-M050-01;klart endret innsjøbunn preget av næringsstoff-overbelastning;LJ01-M050-01
NiN-3.0-T-C-PE-NA-MB-LM01-M050-01;ny sterkt endret innsjøbunn;LM01-M050-01
NiN-3.0-T-C-PE-NA-MB-LM02-M050-01;kalkfattig ny innsjøbunn fra elvebunn;LM02-M050-01
NiN-3.0-T-C-PE-NA-MB-LM02-M050-02;kalkrik ny innsjøbunn fra elvebunn;LM02-M050-02
NiN-3.0-T-C-PE-NA-MB-LM03-M050-01;kalkfattig ny innsjøbunn fra våtmarkssystemer;LM03-M050-01
NiN-3.0-T-C-PE-NA-MB-LM03-M050-02;kalkrik ny innsjøbunn fra våtmarkssystemer;LM03-M050-02
NiN-3.0-T-C-PE-NA-MB-LM04-M050-01;kalkfattig kronisk fysisk forstyrret innsjøbunn;LM04-M050-01
NiN-3.0-T-C-PE-NA-MB-LM04-M050-02;kalkrik kronisk fysisk forstyrret innsjøbunn;LM04-M050-02
NiN-3.0-T-C-PE-NA-MB-LM05-M050-01;kronisk kjemisk påvirket innsjøbunn ;LM05-M050-01
NiN-3.0-T-C-PE-NA-MB-LM05-M050-02;kronisk saltpåvirket innsjøbunn ;LM05-M050-02
NiN-3.0-T-C-PE-NA-MB-LM05-M050-03;kronisk forsuret eller eutrofiert innsjøbunn ;LM05-M050-03
NiN-3.0-T-C-PE-NA-MB-LM05-M050-04;kronisk forsuret fast innsjøbunn ;LM05-M050-04
NiN-3.0-T-C-PE-NA-MB-MA01-M050-01;fast saltvanns-fjærebeltebunn;MA01-M050-01
NiN-3.0-T-C-PE-NA-MB-MA02-M050-01;beskyttet til ganske eksponert eufotisk fast saltvannsbunn;MA02-M050-01
NiN-3.0-T-C-PE-NA-MB-MA02-M050-02;svært til ekstremt eksponert eufotisk fast saltvannsbunn;MA02-M050-02
NiN-3.0-T-C-PE-NA-MB-MA03-M050-01;afotisk fastbunn i kystvann;MA03-M050-01
NiN-3.0-T-C-PE-NA-MB-MA03-M050-02;afotisk fastbunn i atlantisk vann;MA03-M050-02
NiN-3.0-T-C-PE-NA-MB-MA03-M050-03;afotisk saltvanns-fastbunn i intermediært vann;MA03-M050-03
NiN-3.0-T-C-PE-NA-MB-MA03-M050-04;afotisk fastbunn i dyphavsvann;MA03-M050-04
NiN-3.0-T-C-PE-NA-MB-MA03-M050-05;afotisk fastbunn i arktisk vann;MA03-M050-05
NiN-3.0-T-C-PE-NA-MB-MA04-M050-01;finmaterialfattig til noe -rik uorganisk grov fjærebelte-sedimentbunn;MA04-M050-01
NiN-3.0-T-C-PE-NA-MB-MA04-M050-02;finmaterialrik til -dominert uorganisk fin fjærebeltebunn;MA04-M050-02
NiN-3.0-T-C-PE-NA-MB-MA05-M050-01;eufotisk saltvanns-sedimentbunn av sand- skjellsand, grus, stein eller rugl;MA05-M050-01
NiN-3.0-T-C-PE-NA-MB-MA05-M050-02; eufotisk saltvanns-sedimentbunn av leire, silt dy- og gytje eller myrtorv;MA05-M050-02
NiN-3.0-T-C-PE-NA-MB-MA06-M050-01;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i kystvann;MA06-M050-01
NiN-3.0-T-C-PE-NA-MB-MA06-M050-02;afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann;MA06-M050-02
NiN-3.0-T-C-PE-NA-MB-MA06-M050-03;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i atlantisk vann;MA06-M050-03
NiN-3.0-T-C-PE-NA-MB-MA06-M050-04;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann;MA06-M050-04
NiN-3.0-T-C-PE-NA-MB-MA06-M050-05;finmaterialfattig til noe rik uorganisk sedimentbunn i intermediært vann;MA06-M050-05
NiN-3.0-T-C-PE-NA-MB-MA06-M050-06;finmaterialrik til -dominert dy- og gytjebunn i intermediært vann;MA06-M050-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-07;finmaterialfattig til noe rik uorganisk sedimentbunn i dyphavsvann;MA06-M050-07
NiN-3.0-T-C-PE-NA-MB-MA06-M050-08;finmaterialrik til -dominert dy- og gytjebunn i dyphavsvann;MA06-M050-08
NiN-3.0-T-C-PE-NA-MB-MA06-M050-09;afotisk finmaterialfattig til noe -rik uorganisk sedimentbunn i arktisk vann;MA06-M050-09
NiN-3.0-T-C-PE-NA-MB-MA06-M050-10;afotisk finmaterialrik til -dominert dy- og gytjebunn i arktisk vann;MA06-M050-10
NiN-3.0-T-C-PE-NA-MB-MA06-M050-11;afotisk satvannsbunn av konsolidert leire;MA06-M050-11
NiN-3.0-T-C-PE-NA-MB-MA06-M050-12;overveiende uorganisk dyphavsvannssedimentbunn med abyssal næringstilførselsreduksjon;MA06-M050-12
NiN-3.0-T-C-PE-NA-MB-MB01-M050-01;salt helofyttsump;MB01-M050-01
NiN-3.0-T-C-PE-NA-MB-MB01-M050-02;brakk helofyttsump;MB01-M050-02
NiN-3.0-T-C-PE-NA-MB-MB02-M050-01;saltvanns-undervannseng;MB02-M050-01
NiN-3.0-T-C-PE-NA-MB-MB03-M050-01;kysttilknyttet korallrev-bunn;MB03-M050-01
NiN-3.0-T-C-PE-NA-MB-MB03-M050-02;havtilknyttet korallrev-bunn;MB03-M050-02
NiN-3.0-T-C-PE-NA-MB-MC01-M050-01;fast brakkvanns-fjærebeltebunn;MC01-M050-01
NiN-3.0-T-C-PE-NA-MB-MC02-M050-01;fast brakkvannsbunn;MC02-M050-01
NiN-3.0-T-C-PE-NA-MB-MC03-M050-01;littoralbassengbunn;MC03-M050-01
NiN-3.0-T-C-PE-NA-MB-MC04-M050-01;brakkvanns-sedimentbunn;MC04-M050-01
NiN-3.0-T-C-PE-NA-MB-MC05-M050-01;marine grotter og overheng;MC05-M050-01
NiN-3.0-T-C-PE-NA-MB-MC06-M050-01;kald havkilde i atlantisk vann;MC06-M050-01
NiN-3.0-T-C-PE-NA-MB-MC06-M050-02;kald havkilde i intermediært vann;MC06-M050-02
NiN-3.0-T-C-PE-NA-MB-MC06-M050-03;kald havkilde i dyphavsvann;MC06-M050-03
NiN-3.0-T-C-PE-NA-MB-MC07-M050-01;litt til sterkt jordvarmepåvirket varm havkilde;MC07-M050-01
NiN-3.0-T-C-PE-NA-MB-MC07-M050-02;svært sterkt til disruptivt jordvarmepåvirket varm havkilde;MC07-M050-02
NiN-3.0-T-C-PE-NA-MB-MC08-M050-01;periodisk oksygenfri marin bunn;MC08-M050-01
NiN-3.0-T-C-PE-NA-MB-MC08-M050-02;oksygenfri marin bunn;MC08-M050-02
NiN-3.0-T-C-PE-NA-MB-MC09-M050-01;havisbunn;MC09-M050-01
NiN-3.0-T-C-PE-NA-MB-MC10-M050-01;havis-underside;MC10-M050-01
NiN-3.0-T-C-PE-NA-MB-MF01-M050-01;brakkvanns-undervannseng;MF01-M050-01
NiN-3.0-T-C-PE-NA-MB-MJ01-M050-01;taretrålingsbunn;MJ01-M050-01
NiN-3.0-T-C-PE-NA-MB-MM01-M050-01;sterkt endret eller ny fast marin bunn og -berg i eufotisk sone;MM01-M050-01
NiN-3.0-T-C-PE-NA-MB-MM01-M050-02;sterkt endret eller ny fast marin bunn og -berg i afotisk sone;MM01-M050-02
NiN-3.0-T-C-PE-NA-MB-MM01-M050-03;sterkt endret eller ny uorganisk marin bunn;MM01-M050-03
NiN-3.0-T-C-PE-NA-MB-MM01-M050-04;sterkt endret eller ny marin bunn av dy og gyttje;MM01-M050-04
NiN-3.0-T-C-PE-NA-MB-MM02-M050-01;sterkt endret fast marin bunn og -berg preget av kronisk kjemisk påvirkning;MM02-M050-01
NiN-3.0-T-C-PE-NA-MB-MM02-M050-02;sterkt endret marin bunn av uorganisk substtrat preget av kronisk kjemisk påvirkning;MM02-M050-02
NiN-3.0-T-C-PE-NA-MB-OA01-M050-01;ekstremt kalkfattig fastbunn i klar elv;OA01-M050-01
NiN-3.0-T-C-PE-NA-MB-OA01-M050-02;svært kalkfattig fastbunn i klar elv;OA01-M050-02
NiN-3.0-T-C-PE-NA-MB-OA01-M050-03;noe kalkfattig fastbunn i klar elv;OA01-M050-03
NiN-3.0-T-C-PE-NA-MB-OA01-M050-04;moderat kalkrik fastbunn i klar elv;OA01-M050-04
NiN-3.0-T-C-PE-NA-MB-OA01-M050-05;svært kalkrik fastbunn i klar elv;OA01-M050-05
NiN-3.0-T-C-PE-NA-MB-OA01-M050-06;ekstremt og svært kalkfattig fastbunn i humøs elv;OA01-M050-06
NiN-3.0-T-C-PE-NA-MB-OA01-M050-07;noe kalkfattig og kalkrik fastbunn i humøs elv;OA01-M050-07
NiN-3.0-T-C-PE-NA-MB-OA01-M050-08;turbid fast elvebunn;OA01-M050-08
NiN-3.0-T-C-PE-NA-MB-OA02-M050-01;ekstremt kalkfattig steinbunn i klar elv;OA02-M050-01
NiN-3.0-T-C-PE-NA-MB-OA02-M050-02;svært kalkfattig steinbunn i klar elv;OA02-M050-02
NiN-3.0-T-C-PE-NA-MB-OA02-M050-03;noe kalkfattig steinbunn i klar elv;OA02-M050-03
NiN-3.0-T-C-PE-NA-MB-OA02-M050-04;kalkrik steinbunn i klar elv;OA02-M050-04
NiN-3.0-T-C-PE-NA-MB-OA02-M050-05;steinbunn i humøs elv;OA02-M050-05
NiN-3.0-T-C-PE-NA-MB-OA02-M050-06;noe kalkfattig steinbunn i humøs elv;OA02-M050-06
NiN-3.0-T-C-PE-NA-MB-OA02-M050-07;kalkrik steinbunn i humøs elv;OA02-M050-07
NiN-3.0-T-C-PE-NA-MB-OA02-M050-08;turbid elvesedimentbunn;OA02-M050-08
NiN-3.0-T-C-PE-NA-MB-OB01-M050-01;kalkfattig undervannseng i elv;OB01-M050-01
NiN-3.0-T-C-PE-NA-MB-OB01-M050-02;kalkrik undervannseng i elv;OB01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC01-M050-01;kalkfattig svak ferskvannskildebunn;OC01-M050-01
NiN-3.0-T-C-PE-NA-MB-OC01-M050-02;kalkfattig sterk ferskvannskildebunn;OC01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC02-M050-01;varm ferskvannskildebunn;OC02-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-01;kalkfattig dy- og gytjebunn i elv;OC03-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-02;kalkrik dy- og gytjebunn i elv;OC03-M050-02
NiN-3.0-T-C-PE-NA-MB-OG01-M050-01;ny elvebunn;OG01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-01;kalkfattig kronisk fysisk forstyrret elvebunn;OM01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-02;kalkrik kronisk fysisk forstyrret elvebunn;OM01-M050-02
NiN-3.0-T-C-PE-NA-MB-OM01-M050-03;turbid minstevannførings-strekning i elv ;OM01-M050-03
NiN-3.0-T-C-PE-NA-MB-OM02-M050-01;kronisk kjemisk påvirket elvebunn;OM02-M050-01
NiN-3.0-T-C-PE-NA-MB-OM02-M050-02;kronisk forsuret elvebunn;OM02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA01-M050-01;svært kalkfattig til noe kalkrikt nakent berg;TA01-M050-01
NiN-3.0-T-C-PE-NA-MB-TA01-M050-02;klart til ekstremt kalkrikt nakent berg;TA01-M050-02
NiN-3.0-T-C-PE-NA-MB-TA02-M050-01;kalkfattig til litt kalkrik åpen grunnlendt mark;TA02-M050-01
NiN-3.0-T-C-PE-NA-MB-TA02-M050-02;temmelig til ekstremt kalkrik åpen grunnlendt mark;TA02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA03-M050-01;kalkfattig til litt kalkrik arktisk-alpin hei og leside;TA03-M050-01
NiN-3.0-T-C-PE-NA-MB-TA03-M050-02;kalkrik til saltanriket arktisk-alpin hei og leside;TA03-M050-02
NiN-3.0-T-C-PE-NA-MB-TA04-M050-01;kalkfattig til litt kalkrik arktisk-alpin grasmark;TA04-M050-01
NiN-3.0-T-C-PE-NA-MB-TA04-M050-02;klart kalkrik arktisk-alpin grasmark;TA04-M050-02
