M050-kode;HTKode;HTGKode
NiN-3.0-T-C-PE-NA-MB-MA01-M050-01;NM-A-01;NA-M
NiN-3.0-T-C-PE-NA-MB-MA02-M050-01;NM-A-02;NA-M
NiN-3.0-T-C-PE-NA-MB-MA02-M050-02;NM-A-02;NA-M
NiN-3.0-T-C-PE-NA-MB-MA03-M050-01;NM-A-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MA03-M050-02;NM-A-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MA03-M050-03;NM-A-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MA03-M050-04;NM-A-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MA03-M050-05;NM-A-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MA04-M050-01;NM-A-04;NA-M
NiN-3.0-T-C-PE-NA-MB-MA04-M050-02;NM-A-04;NA-M
NiN-3.0-T-C-PE-NA-MB-MA05-M050-01;NM-A-05;NA-M
NiN-3.0-T-C-PE-NA-MB-MA05-M050-02;NM-A-05;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-01;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-02;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-03;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-04;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-05;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-06;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-07;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-08;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-09;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-10;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-11;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MA06-M050-12;NM-A-06;NA-M
NiN-3.0-T-C-PE-NA-MB-MB01-M050-01;NM-B-01;NA-M
NiN-3.0-T-C-PE-NA-MB-MB01-M050-02;NM-B-01;NA-M
NiN-3.0-T-C-PE-NA-MB-MB02-M050-01;NM-B-02;NA-M
NiN-3.0-T-C-PE-NA-MB-MB03-M050-01;NM-B-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MB03-M050-02;NM-B-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MC01-M050-01;NM-C-01;NA-M
NiN-3.0-T-C-PE-NA-MB-MC02-M050-01;NM-C-02;NA-M
NiN-3.0-T-C-PE-NA-MB-MC03-M050-01;NM-C-03;NA-M
NiN-3.0-T-C-PE-NA-MB-MC04-M050-01;NM-C-04;NA-M
