typekode;thgkode
A-LV-BM;BM-A
A-LV-EL;EL-A
A-LV-EL;EL-B
A-LV-EL;EL-C
A-LV-EL;EL-D
A-LV-EL;EL-E
A-LV-EL;EL-F
A-LV-EL;EL-G
A-LV-FL;FL-A
A-LV-FL;FL-B
A-LV-FL;FL-C
A-LV-FL;FL-D
A-LV-FL;FL-E
A-LV-FL;FL-F
A-LV-FL;FL-G
A-LV-FL;FL-H
A-LV-FL;FL-I
A-LV-FL;FL-J
A-LV-FL;FL-K
A-LV-FL;FL-L
A-LV-FL;FL-M
A-LV-FL;FL-N
A-LV-FL;FL-O
A-LV-FL;FL-P
A-LV-IB;IB-A
A-LV-IB;IB-B
A-LV-IB;IB-C
A-LV-IB;IB-D
A-LV-IB;IB-E
A-LV-IB;IB-F
A-LV-IB;IB-G
A-LV-IB;IB-H
A-LV-IB;IB-I
A-LV-IB;IB-J
A-LV-IB;IB-K
A-LV-IB;IB-L
A-LV-IB;IB-M
A-LV-IB;IB-N
A-LV-TM;TM-A
A-LV-TM;TM-B
A-LV-TM;TM-C
A-LV-TM;TM-D
A-LV-TM;TM-E
A-LV-TM;TM-F
A-LV-TM;TM-G
A-LV-TM;TM-H
A-MV-0;0-A
A-MV-0;0-B
C-LI-0;0-FS
C-LI-0;0-FU
C-LI-0;0-MS
C-LI-0;0-MU
C-LI-0;0-TS
C-LI-0;0-TU
C-PE-LA;LA-I
C-PE-LA;LA-K
C-PE-LA;LA-M
C-PE-NA;NA-F
C-PE-NA;NA-I
C-PE-NA;NA-L
C-PE-NA;NA-M
C-PE-NA;NA-O
C-PE-NA;NA-S
C-PE-NA;NA-T
C-PE-NA;NA-V
C-SE-NK;NK-C
C-SE-NK;NK-D
C-SE-NK;NK-E
