Type_kode;Hovedtypegruppe_kode;Hovedtype_kode;Langkode
A-LV-BM;FL-A;A-0-0;NiN-3.0-T-A-LV-FL-0-A00-0
A-LV-EL;FL-A;A-0-01;NiN-3.0-T-A-LV-FL-0-A001-0
A-LV-FL;FL-A;A-0-02;NiN-3.0-T-A-LV-FL-0-A002-0
A-LV-IB;FL-A;A-0-03;NiN-3.0-T-A-LV-FL-0-A003-0
A-LV-TM;FL-A;A-0-04;NiN-3.0-T-A-LV-FL-0-A004-0
A-MV-0;FL-A;A-0-05;NiN-3.0-T-A-LV-FL-0-A005-0
C-LI-0;FL-A;A-0-06;NiN-3.0-T-A-LV-FL-0-A006-0
C-PE-LA;FL-A;A-0-07;NiN-3.0-T-A-LV-FL-0-A007-0
C-PE-NA;FL-A;A-0-08;NiN-3.0-T-A-LV-FL-0-A008-0
C-SE-NK;FL-A;A-0-09;NiN-3.0-T-A-LV-FL-0-A009-0
;FL-A;A-0-10;NiN-3.0-T-A-LV-FL-0-A010-0
;FL-B;B-0-0;NiN-3.0-T-A-LV-FL-0-B00-0
;FL-B;B-0-01;NiN-3.0-T-A-LV-FL-0-B001-0
;FL-C;C-0-0;NiN-3.0-T-A-LV-FL-0-C00-0
;FL-C;C-0-01;NiN-3.0-T-A-LV-FL-0-C001-0
;FL-C;C-0-02;NiN-3.0-T-A-LV-FL-0-C002-0
;FL-C;C-0-03;NiN-3.0-T-A-LV-FL-0-C003-0
;FL-C;C-0-04;NiN-3.0-T-A-LV-FL-0-C004-0
;FL-C;C-0-05;NiN-3.0-T-A-LV-FL-0-C005-0
;FL-D;D-0-0;NiN-3.0-T-A-LV-FL-0-D00-0
;FL-D;D-0-01;NiN-3.0-T-A-LV-FL-0-D001-0
;FL-D;D-0-02;NiN-3.0-T-A-LV-FL-0-D002-0
;FL-D;D-0-03;NiN-3.0-T-A-LV-FL-0-D003-0
;FL-D;D-0-04;NiN-3.0-T-A-LV-FL-0-D004-0
;FL-D;D-0-05;NiN-3.0-T-A-LV-FL-0-D005-0
;FL-D;D-0-06;NiN-3.0-T-A-LV-FL-0-D006-0
;FL-D;D-0-07;NiN-3.0-T-A-LV-FL-0-D007-0
;FL-D;D-0-08;NiN-3.0-T-A-LV-FL-0-D008-0
;FL-D;D-0-09;NiN-3.0-T-A-LV-FL-0-D009-0
;FL-D;D-0-10;NiN-3.0-T-A-LV-FL-0-D010-0
;FL-D;D-0-11;NiN-3.0-T-A-LV-FL-0-D011-0
;FL-E;E-0-0;NiN-3.0-T-A-LV-FL-0-E00-0
;FL-E;E-0-01;NiN-3.0-T-A-LV-FL-0-E001-0
;FL-E;E-0-02;NiN-3.0-T-A-LV-FL-0-E002-0
;FL-E;E-0-03;NiN-3.0-T-A-LV-FL-0-E003-0
;FL-E;E-0-04;NiN-3.0-T-A-LV-FL-0-E004-0
;FL-F;F-0-0;NiN-3.0-T-A-LV-FL-0-F00-0
;FL-F;F-0-01;NiN-3.0-T-A-LV-FL-0-F001-0
;FL-F;F-0-02;NiN-3.0-T-A-LV-FL-0-F002-0
;FL-F;F-0-03;NiN-3.0-T-A-LV-FL-0-F003-0
;FL-F;F-0-04;NiN-3.0-T-A-LV-FL-0-F004-0
;FL-F;F-0-05;NiN-3.0-T-A-LV-FL-0-F005-0
;FL-F;F-0-06;NiN-3.0-T-A-LV-FL-0-F006-0
;FL-G;G-0-0;NiN-3.0-T-A-LV-FL-0-G00-0
;FL-G;G-0-01;NiN-3.0-T-A-LV-FL-0-G001-0
;FL-G;G-0-02;NiN-3.0-T-A-LV-FL-0-G002-0
;FL-G;G-0-03;NiN-3.0-T-A-LV-FL-0-G003-0
;FL-G;G-0-04;NiN-3.0-T-A-LV-FL-0-G004-0
;FL-G;G-0-05;NiN-3.0-T-A-LV-FL-0-G005-0
;FL-G;G-0-06;NiN-3.0-T-A-LV-FL-0-G006-0
;FL-G;G-0-07;NiN-3.0-T-A-LV-FL-0-G007-0
;FL-G;G-0-08;NiN-3.0-T-A-LV-FL-0-G008-0
;FL-H;H-0-0;NiN-3.0-T-A-LV-FL-0-H00-0
;FL-H;H-0-01;NiN-3.0-T-A-LV-FL-0-H001-0
;FL-H;H-0-02;NiN-3.0-T-A-LV-FL-0-H002-0
;FL-H;H-0-03;NiN-3.0-T-A-LV-FL-0-H003-0
;FL-H;H-0-04;NiN-3.0-T-A-LV-FL-0-H004-0
;FL-H;H-0-05;NiN-3.0-T-A-LV-FL-0-H005-0
;FL-H;H-0-06;NiN-3.0-T-A-LV-FL-0-H006-0
;FL-H;H-0-07;NiN-3.0-T-A-LV-FL-0-H007-0
;FL-H;H-0-08;NiN-3.0-T-A-LV-FL-0-H008-0
;FL-H;H-0-09;NiN-3.0-T-A-LV-FL-0-H009-0
;FL-H;H-0-10;NiN-3.0-T-A-LV-FL-0-H010-0
;FL-H;H-0-11;NiN-3.0-T-A-LV-FL-0-H011-0
;FL-H;H-0-12;NiN-3.0-T-A-LV-FL-0-H012-0
;FL-H;H-0-13;NiN-3.0-T-A-LV-FL-0-H013-0
;FL-H;H-0-14;NiN-3.0-T-A-LV-FL-0-H014-0
;FL-H;H-0-15;NiN-3.0-T-A-LV-FL-0-H015-0
;FL-H;H-0-16;NiN-3.0-T-A-LV-FL-0-H016-0
;FL-H;H-0-17;NiN-3.0-T-A-LV-FL-0-H017-0
;FL-H;H-0-18;NiN-3.0-T-A-LV-FL-0-H018-0
;FL-H;H-0-19;NiN-3.0-T-A-LV-FL-0-H019-0
;FL-H;H-0-20;NiN-3.0-T-A-LV-FL-0-H020-0
;FL-H;H-0-21;NiN-3.0-T-A-LV-FL-0-H021-0
;FL-H;H-0-22;NiN-3.0-T-A-LV-FL-0-H022-0
;FL-H;H-0-23;NiN-3.0-T-A-LV-FL-0-H023-0
;FL-H;H-0-24;NiN-3.0-T-A-LV-FL-0-H024-0
;FL-H;H-0-25;NiN-3.0-T-A-LV-FL-0-H025-0
;FL-H;H-0-26;NiN-3.0-T-A-LV-FL-0-H026-0
;FL-H;H-0-27;NiN-3.0-T-A-LV-FL-0-H027-0
;FL-H;H-0-28;NiN-3.0-T-A-LV-FL-0-H028-0
;FL-H;H-0-29;NiN-3.0-T-A-LV-FL-0-H029-0
;FL-H;H-0-30;NiN-3.0-T-A-LV-FL-0-H030-0
;FL-I;I-0-0;NiN-3.0-T-A-LV-FL-0-I00-0
;FL-I;I-0-01;NiN-3.0-T-A-LV-FL-0-I001-0
;FL-I;I-0-02;NiN-3.0-T-A-LV-FL-0-I002-0
;FL-I;I-0-03;NiN-3.0-T-A-LV-FL-0-I003-0
;FL-I;I-0-04;NiN-3.0-T-A-LV-FL-0-I004-0
;FL-I;I-0-05;NiN-3.0-T-A-LV-FL-0-I005-0
;FL-I;I-0-06;NiN-3.0-T-A-LV-FL-0-I006-0
;FL-I;I-0-07;NiN-3.0-T-A-LV-FL-0-I007-0
;FL-I;I-0-08;NiN-3.0-T-A-LV-FL-0-I008-0
;FL-I;I-0-09;NiN-3.0-T-A-LV-FL-0-I009-0
;FL-I;I-0-10;NiN-3.0-T-A-LV-FL-0-I010-0
;FL-I;I-0-11;NiN-3.0-T-A-LV-FL-0-I011-0
;FL-I;I-0-12;NiN-3.0-T-A-LV-FL-0-I012-0
;FL-J;J-0-0;NiN-3.0-T-A-LV-FL-0-J00-0
;FL-J;J-0-01;NiN-3.0-T-A-LV-FL-0-J001-0
;FL-J;J-0-02;NiN-3.0-T-A-LV-FL-0-J002-0
;FL-J;J-0-03;NiN-3.0-T-A-LV-FL-0-J003-0
;FL-J;J-0-04;NiN-3.0-T-A-LV-FL-0-J004-0
;FL-K;K-0-0;NiN-3.0-T-A-LV-FL-0-K00-0
;FL-K;K-0-01;NiN-3.0-T-A-LV-FL-0-K001-0
;FL-K;K-0-02;NiN-3.0-T-A-LV-FL-0-K002-0
;FL-K;K-0-03;NiN-3.0-T-A-LV-FL-0-K003-0
;FL-L;L-0-0;NiN-3.0-T-A-LV-FL-0-L00-0
;FL-L;L-0-01;NiN-3.0-T-A-LV-FL-0-L001-0
;FL-L;L-0-02;NiN-3.0-T-A-LV-FL-0-L002-0
;FL-L;L-0-03;NiN-3.0-T-A-LV-FL-0-L003-0
;FL-L;L-0-04;NiN-3.0-T-A-LV-FL-0-L004-0
;FL-L;L-0-05;NiN-3.0-T-A-LV-FL-0-L005-0
;FL-L;L-0-06;NiN-3.0-T-A-LV-FL-0-L006-0
;FL-L;L-0-07;NiN-3.0-T-A-LV-FL-0-L007-0
;FL-L;L-0-08;NiN-3.0-T-A-LV-FL-0-L008-0
;FL-L;L-0-09;NiN-3.0-T-A-LV-FL-0-L009-0
;FL-L;L-0-10;NiN-3.0-T-A-LV-FL-0-L010-0
;FL-M;M-0-0;NiN-3.0-T-A-LV-FL-0-M00-0
;FL-M;M-0-01;NiN-3.0-T-A-LV-FL-0-M001-0
;FL-M;M-0-02;NiN-3.0-T-A-LV-FL-0-M002-0
;FL-M;M-0-03;NiN-3.0-T-A-LV-FL-0-M003-0
;FL-M;M-0-04;NiN-3.0-T-A-LV-FL-0-M004-0
;FL-M;M-0-05;NiN-3.0-T-A-LV-FL-0-M005-0
;FL-M;M-0-06;NiN-3.0-T-A-LV-FL-0-M006-0
;FL-M;M-0-07;NiN-3.0-T-A-LV-FL-0-M007-0
;FL-N;N-0-0;NiN-3.0-T-A-LV-FL-0-N00-0
;FL-N;N-0-01;NiN-3.0-T-A-LV-FL-0-N001-0
;FL-N;N-0-02;NiN-3.0-T-A-LV-FL-0-N002-0
;FL-N;N-0-03;NiN-3.0-T-A-LV-FL-0-N003-0
;FL-N;N-0-04;NiN-3.0-T-A-LV-FL-0-N004-0
;FL-N;N-0-05;NiN-3.0-T-A-LV-FL-0-N005-0
;FL-O;O-0-0;NiN-3.0-T-A-LV-FL-0-O00-0
;FL-O;O-0-01;NiN-3.0-T-A-LV-FL-0-O001-0
;FL-O;O-0-02;NiN-3.0-T-A-LV-FL-0-O002-0
;FL-P;P-0-0;NiN-3.0-T-A-LV-FL-0-P00-0
