Langkode;Kortkode;3 ABC;4 NM;Variabelkategori2;Variabeltype;Variabelgruppe;Variabelnavn_kode;Variabelnavn_navn;Variabel_kode
NiN-3.0-V-A-N-LO-GE-BO-BH-W;LO-BH;A;N;LO;GE;BO;BH;slukhull på bre;A-N
NiN-3.0-V-A-N-LO-GE-BO-BS-W;LO-BS;A;N;LO;GE;BO;BS;bresprekk;A-N
NiN-3.0-V-A-N-LO-GE-EB-AI-W;LO-AI;A;N;LO;GE;EB;AI;isolert innersvingbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-AS-W;LO-AS;A;N;LO;GE;EB;AS;alternerende sidebanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-DB-W;LO-DB;A;N;LO;GE;EB;DB;diagonalbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-IS-W;LO-IS;A;N;LO;GE;EB;IS;innersvingbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-MI-W;LO-MI;A;N;LO;GE;EB;MI;midtbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-TB-W;LO-TB;A;N;LO;GE;EB;TB;tverrbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-TM-W;LO-TM;A;N;LO;GE;EB;TM;tvunget midtbanke;A-N
NiN-3.0-V-A-N-LO-GE-EB-TS-W;LO-TS;A;N;LO;GE;EB;TS;tvunget sidebanke;A-N
NiN-3.0-V-A-N-LO-GE-EO-DV-W;LO-DV;A;N;LO;GE;EO;DV;dødvedobjekt i elveløp;A-N
NiN-3.0-V-A-N-LO-GE-EO-EB-W;LO-EB;A;N;LO;GE;EO;EB;oppstikkende blokk i elveløp;A-N
NiN-3.0-V-A-N-LO-GE-EO-FK-W;LO-FK;A;N;LO;GE;EO;FK;fossefot-kulp;A-N
NiN-3.0-V-A-N-LO-GE-EO-FO-W;LO-FO;A;N;LO;GE;EO;FO;fossefall;A-N
NiN-3.0-V-A-N-LO-GE-EO-GG-W;LO-GG;A;N;LO;GE;EO;GG;gytegrop;A-N
NiN-3.0-V-A-N-LO-GE-EO-JE-W;LO-JE;A;N;LO;GE;EO;JE;jettegryte i elveløp;A-N
NiN-3.0-V-A-N-LO-GE-EO-KB-W;LO-KB;A;N;LO;GE;EO;KB;beverdemt kulp;A-N
NiN-3.0-V-A-N-LO-GE-EO-KL-W;LO-KL;A;N;LO;GE;EO;KL;kulp;A-N
NiN-3.0-V-A-N-LO-GE-EO-KU-W;LO-KU;A;N;LO;GE;EO;KU;kulp-gruppe;A-N
NiN-3.0-V-A-N-LO-GE-EO-SK-W;LO-SK;A;N;LO;GE;EO;SK;strømkilde;A-N
NiN-3.0-V-A-N-LO-GE-IO-IØ-W;LO-IØ;A;N;LO;GE;IO;IØ;øy i innsjø;A-N
NiN-3.0-V-A-N-LO-GE-IO-IB-W;LO-IB;A;N;LO;GE;IO;IB;oppstikkende blokk i innsjø;A-N
NiN-3.0-V-A-N-LO-GE-TA-KA-W;LO-KA;A;N;LO;GE;TA;KA;kantskog;A-N
NiN-3.0-V-A-N-LO-GE-TA-LA-W;LO-LA;A;N;LO;GE;TA;LA;lagg;A-N
NiN-3.0-V-A-N-LO-GE-TB-BE-W;LO-BE;A;N;LO;GE;TB;BE;bekkeløp;A-N
NiN-3.0-V-A-N-LO-GE-TB-ER-W;LO-ER;A;N;LO;GE;TB;ER;erosjonsområde;A-N
NiN-3.0-V-A-N-LO-GE-TB-FG-W;LO-FG;A;N;LO;GE;TB;FG;flarkgjøl;A-N
NiN-3.0-V-A-N-LO-GE-TB-FL-W;LO-FL;A;N;LO;GE;TB;FL;flark;A-N
NiN-3.0-V-A-N-LO-GE-TB-HG-W;LO-HG;A;N;LO;GE;TB;HG;høljegjøl;A-N
NiN-3.0-V-A-N-LO-GE-TB-HØ-W;LO-HØ;A;N;LO;GE;TB;HØ;hølje;A-N
NiN-3.0-V-A-N-LO-GE-TB-KI-W;LO-KI;A;N;LO;GE;TB;KI;torvmarkskilde;A-N
