HT;Hovedtypenavn;LKM kategori;Gradientkodedefinisjon;Gradientkode;Trinn1;Trinn1 csv;Trinn1 navn;Trinn2;Trinn2 csv;Trinn2 navn;Trinn3;Trinn3 csv;Trinn3 navn;Trinn4;Trinn4 csv;Trinn4 navn;Trinn5;Trinn5 csv;Trinn5 navn;Trinn6;Trinn6 csv;Trinn6 navn;Tags
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];hLKM;VF-0ab|cd|ef|gh;VF;M1-VF_1;VF-0,VF-a,VF-b;;M1-VF_2;VF-c,VF-d;;M1-VF_3;VF-e,VF-f;;M1-VF_4;VF-g,VF-h;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];hLKM;DL-a|bc|d;DL;M1-DL_1;DL-a;;M1-DL_2;DL-b,DL-c;;M1-DL_3;DL-d;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];hLKM;SA-a|bc|def;SA;M1-SA_1;SA-a;;M1-SA_2;SA-b,SA-c;;M1-SA_3;SA-d,SA-e,SA-f;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];tLKM;HF-0ab|+;HF;M1-HF_1;HF-0,HF-a,HF-b;;M1-HF_2;HF-+;;;;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];tLKM;S1-a|b;S1;M1-S1_1;S1-a;;M1-S1_2;S1-b;;;;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];tLKM;IF-0ab|¤;IF;M1-IF_1;IF-0,IF-a,IF-b;;M1-IF_2;IF-¤;;;;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];uLKM;VR-a|b;VR;M1-VR_1;VR-a;bølgepåvirkning;M1-VR_2;VR-b;tidevannsstrøm;;;;;;;;;;;;;Trinn
M1;Eufotisk fast saltvannsbunn [grunn marin fastbunn];uLKM;RU-0ab|cde;RU;M1-RU_1;RU-0,RU-a,RU-b;uten raspreg til litt raspreget;M1-RU_2;RU-c,RU-d,RU-e;temmelig til svært sterkt raspreget;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];hLKM;DM-0|a|b|cd|ef;DM;M2-DM_1;DM-0;;M2-DM_2;DM-a;;M2-DM_3;DM-b;;M2-DM_4;DM-c,DM-d;;M2-DM_5;DM-e,DM-f;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];tLKM;VF-a|bc;VF;M2-VF_1;VF-a;;M2-VF_2;VF-b,VF-c;;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];tLKM;HF-0ab|+;HF;M2-HF_1;HF-0,HF-a,HF-b;;M2-HF_2;HF-+;;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];tLKM;BK-0|a;BK;M2-BK_1;BK-0;;M2-BK_2;BK-a;;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];uLKM;SA-bc|def;SA;M2-SA_1;SA-b,SA-c;temmelig brakt;M2-SA_2;SA-d,SA-e,SA-f;salt;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];uLKM;S1-a|b;S1;M2-S1_1;S1-a;fast fjell;M2-S1_2;S1-b;blokker;;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];uLKM;DD-0|a;DD;M2-DD_1;DD-0;atlantisk vann i nedre sublitoral (< 700 m);M2-DD_2;DD-a;atlantisk vann i bathypelagial og bathyal (> 700 m);;;;;;;;;;;;;Trinn
M2;Afotisk fast saltvannsbunn [dyp marin fastbunn];uLKM;RU-0ab|cde;RU;M2-RU_1;RU-0,RU-a,RU-b;uten raspreg til litt raspreget;M2-RU_2;RU-c,RU-d,RU-e;temmelig til svært sterkt raspreget;;;;;;;;;;;;;Trinn
