HTK;Navn;PrK;PrK-tekst;GrL;Definisjonsgrunnlag-tekst;NiN[1] ;dLKM;hLKM;tLKM;uLKM;Kunnskapsgrunnlag - Hovedtypen generelt;Kunnskapsgrunnlag - Grunntypeinndelingen
M1;Eufotisk fast saltvannsbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;M11 [1-5, pp];;VF,DL,SA;HF,S1,IF;VR,RU ;3;2
M2;Afotisk fast saltvannsbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;M8 [1];;DM,VF;HF,BK;SA,S1,RU;1;2
M3;Fast fjærebeltebunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;S4;;VF,TV,SA ;HF,IF ;S1,VR,RU;3;3
M4;Eufotisk marin sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;M4 pp., M13, M15;;S3 ;DL,SA,IO,KA,SE ;;2;2
M5;Afotisk marin sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;M4 pp, M12, M14 [1];;S3,DM ;IO ;VF;2;2
M6;Korallrev-bunn;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;M6;;;DM ;LK;4;3
M7;Marin undervannseng;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;M15 [3];;;SA,TV ;S3;4;3
M8;Helofytt-saltvannsump;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A ;normal, strukturerende artsgruppe;S7 [10, 12];;;;SA,IO,TV ;2;2
M9;Littoralbasseng-bunn;3;Preget av miljøstress;S;miljøstressbetinget;M11 [6,7];SM ;SM,TV ;SE;;2;2
M10;Marin grotte og overheng;3;Preget av miljøstress;S;miljøstressbetinget;M8 [2] pp. M11 [5] pp.;GS;DL ;GS ;;1;2
M11;Kaldt gassoppkomme;3;Preget av miljøstress;S;miljøstressbetinget;M2;KI;DM ;KI,KT ;;1;1
M12;Varm havkilde;3;Preget av miljøstress;S ;miljøstressbetinget;M3;KI,JV ;JV,DM;;;1;1
M13;Marin sedimentbunn preget av oksygenmangel;3;Preget av miljøstress;S;miljøstressbetinget;M5 [1] M14[2];OM;;OM,DL;;2;3
M14;Sterkt endret eller ny fast saltvannsbunn;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;M1 pp. S1 [3,4];SX;DL ;;VF,SA;1;1
M15;Sterkt endret eller ny marin sedimentbunn ;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;M1 pp. S1 [1,2];SX;;S3,HS;DL,SA;2;1
L1;Eufotisk fast ferskvannsbunn ;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;F6;;KA ;VF,HU ;DL,IF;3;2
L2;Eufotisk limnisk sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;F5 F7[1, 3,4];;S3,KA ;IO,VT,SE ;VF,HU,DL,IF;3;2
L3;Afotisk limnisk sedimentbunn;1;Uten variasjon i artssammensetning betinget av strukturerende artsgruppe;0;normal hovedtype;F4;;;KA ;IO;2;1
L4;Helofytt-ferskvannssump;2;Med variasjon i artssammensetning betinget av strukturerende artsgruppe;A;normal, strukturerende artsgruppe;F7 [5, 6];;;KA ;S3,IO,IF;4;3
L5;Ferskvannskildebunn;3;Preget av miljøstress;S ;miljøstressbetinget;F2;KI;;KT,KA ;S3,VF;2;1
L6;Afotisk limnisk sedimentbunn preget av oksygenmangel;3;Preget av miljøstress;S;miljøstressbetinget;F3;OM;;OM ;KA;3;2
L7;Sterkt endret eller ny fast ferskvannsbunn;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;F1 p.p.;SX;;HS;DL;1;1
