Nivå;Hovedtypegruppe_kode;Hovedtype_kode;HOVEDTYPE_navn;Sammensatt_Kode;Navn_GRUNNTYPE 1:500 (langnavn);Navn_GRUNNTYPE 1:500 (populærnavn)
NA;M;M1;Eufotisk fast saltvannsbunn;M1-1;svært beskyttet fast algebunn;grønnalgebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-2;beskyttet-eksponert sublitoral fastbunn;rødalgebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-3;beskyttet infralitoral fastbunn;sukkertareskog
NA;M;M1;Eufotisk fast saltvannsbunn;M1-4;beskyttet øvre circalitoral fastbunn;sagtangbunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-5;nokså eksponert infralitoral fastbunn;stortareskog
NA;M;M1;Eufotisk fast saltvannsbunn;M1-6;nokså eksponert øvre circalitoral fastbunn;fingertarebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-7;svært eksponert eufotisk fastbunn;svært eksponert fastbunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-8;nokså brakk svært beskyttet fast algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-9;nokså brakk beskyttet-eksponert sublitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-10;nokså brakk beskyttet infralitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-11;nokså brakk beskyttet øvre circalitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-12;nokså brakk nokså eksponert infralitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-13;nokså brakk nokså eksponert øvre circalitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-14;svært brakk svært beskyttet fast algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-15;svært brakk beskyttet-eksponert fast tareskogs-algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-16;svært beskyttet bergvegg under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-17;beskyttet-eksponert sublitoral bergvegg;
