Besys1;Nivå 1 kode;col_2;Nivå 2 kode;Nivå 2 beskrivelse;Trinn;Sammensatt_kode;Navn [og forklaring];Type;Måle-skala;Nivå 2 kode ny;Nivå 2 Tags;Tags;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;BV-0-XY;Bark- og vedboende art- Forekomst;;1AE-BV-0-XY;Til stede;B;;1AE-BV-0-XY;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB;Mark- og bunnlevende art;;1AE-MB;;;;1AE-MB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-0-XY;Mark- og bunnlevende art - Forekomst;0;1AE-MB-0-XY_0;Ikke til stede;B;;1AE-MB-0-XY;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-0-XY;Mark- og bunnlevende art - Forekomst;1;1AE-MB-0-XY_1;Til stede;B;;1AE-MB-0-XY;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D;Mark- og bunnlevende art - Dekning;;1AE-MB-D;;A;A6;1AE-MB-D;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);0;1AE-MB-D-AB_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);1;1AE-MB-D-AB_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);2;1AE-MB-D-AB_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);3;1AE-MB-D-AB_3;25 - 50 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);4;1AE-MB-D-AB_4;50 - 75 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);5;1AE-MB-D-AB_5;> 75 % dekning;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AB;Mark- og bunnlevende art - Dekning -  Edelgranslekta (Abies spp.);x;1AE-MB-D-AB_x;Ikke registrert;A;A6;1AE-MB-D-AB;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);0;1AE-MB-D-ACpl_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);1;1AE-MB-D-ACpl_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);2;1AE-MB-D-ACpl_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);3;1AE-MB-D-ACpl_3;25 - 50 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);4;1AE-MB-D-ACpl_4;50 - 75 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);5;1AE-MB-D-ACpl_5;> 75 % dekning;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACpl;Mark- og bunnlevende art - Dekning -  Spisslønn (Acer platanoides);x;1AE-MB-D-ACpl_x;Ikke registrert;A;A6;1AE-MB-D-ACpl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);0;1AE-MB-D-ACps_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);1;1AE-MB-D-ACps_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);2;1AE-MB-D-ACps_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);3;1AE-MB-D-ACps_3;25 - 50 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);4;1AE-MB-D-ACps_4;50 - 75 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);5;1AE-MB-D-ACps_5;> 75 % dekning;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ACps;Mark- og bunnlevende art - Dekning -  Platanlønn (Acer pseudoplatanus);x;1AE-MB-D-ACps_x;Ikke registrert;A;A6;1AE-MB-D-ACps;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);0;1AE-MB-D-AEhi_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);1;1AE-MB-D-AEhi_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);2;1AE-MB-D-AEhi_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);3;1AE-MB-D-AEhi_3;25 - 50 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);4;1AE-MB-D-AEhi_4;50 - 75 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);5;1AE-MB-D-AEhi_5;> 75 % dekning;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-AEhi;Mark- og bunnlevende art - Dekning -  Hestekastanje (Aesculus hippocastanum);x;1AE-MB-D-AEhi_x;Ikke registrert;A;A6;1AE-MB-D-AEhi;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);0;1AE-MB-D-ALgl_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);1;1AE-MB-D-ALgl_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);2;1AE-MB-D-ALgl_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);3;1AE-MB-D-ALgl_3;25 - 50 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);4;1AE-MB-D-ALgl_4;50 - 75 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);5;1AE-MB-D-ALgl_5;> 75 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);x;1AE-MB-D-ALgl_x;Ikke registrert;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
