col_0;Variabelgruppe;Nivå 1 Kode;;Nivå 2 Kode;;Nivå 3 Kode;Sammensatt kode;Navn;Variabeltype;Nivå 2 Kode ny;Tags
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);1;2BE-1_1;Alkalifeltspatgranitt (alkali feldspar granite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);2;2BE-1_2;Granitt (granite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);3;2BE-1_3;Granodioritt (granodiorite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);4;2BE-1_4;Tonalitt (tonalite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);5;2BE-1_5;Trondhjemitt (trondhjemite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);6;2BE-1_6;Alkalifeltspatsyenitt (alkali feldspar syenite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);7;2BE-1_7;Syenitt (syenite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);8;2BE-1_8;Monzonitt (monzonite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);9;2BE-1_9;Monzodioritt (monzodiorite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);10;2BE-1_10;Larvikitt (larvikite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);11;2BE-1_11;Kvartsdioritt (quartz diorite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);12;2BE-1_12;Dioritt (diorite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);13;2BE-1_13;Gabbro (gabbro);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);14;2BE-1_14;Noritt (norite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);20;2BE-1_20;Nefelinførende bergart (nephelin-bearing rock);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);30;2BE-1_30;Peridotitt  (peridotite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);31;2BE-1_31;Dunitt (dunite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);32;2BE-1_32;Harzburgitt (harzburgite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);33;2BE-1_33;Wehrlitt (wehrlite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);34;2BE-1_34;Lherzolitt (lherzolite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);35;2BE-1_35;Websteritt (websterite);B;2BE-1;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;1;Dypbergart (plutonic rock);36;2BE-1_36;Pyroksenitt (pyroksenite);B;2BE-1;Trinn
