col_0	col_1	Nivå 1 kode	col_3	Nivå 2 kode	Sammensatt_kode	Navn	Variabeltype	Romlig skala	Tags
3	Landform	AB	Avsetningsformer knyttet til breer	DG	3AB_DG	Dødisgrop	B	7	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	DI	3AB_DI	Dødisterreng	B	12	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	DR	3AB_DR	Drumlin og radiære morenerygger	B	8	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	EN	3AB_EN	Ende- og sidemorener	B	9	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	ES	3AB_ES	Esker	B	8	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	FL	3AB_FL	Flyttblokk	B	2	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	IS	3AB_IS	Iskjernemorene	B	7	Trinn
3	Landform	AB	Avsetningsformer knyttet til breer	RO	3AB_RO	Rogenmorene	B	9	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	DE	3AR_DE	Delta	B	11	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	EB	3AR_EB	Elvebanke	B	5	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	ES	3AR_ES	Elveslette	B	10	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	EV	3AR_EV	Elvevifte	B	8	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	LS	3AR_LS	Leirslette	B	12	Trinn
3	Landform	AR	Avsetningsformer knyttet til rennende vann	LV	3AR_LV	Levé	B	6	Trinn
3	Landform	BF	Breformer	BB	3BF_BB	Botnbre	B	11	Trinn
3	Landform	BF	Breformer	DB	3BF_DB	Dalbre	B	12	Trinn
3	Landform	BF	Breformer	DS	3BF_DS	Dalsidebre	B	10	Trinn
3	Landform	BF	Breformer	KB	3BF_KB	Kalvende bre	B	10	Trinn
3	Landform	BF	Breformer	PB	3BF_PB	Platåbre	B	13	Trinn
3	Landform	BF	Breformer	RB	3BF_RB	Regenerert bre	B	9	Trinn
3	Landform	BF	Breformer	SB	3BF_SB	Sammensatt bre	B	12	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	BO	3EB_BO	Botn	B	11	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	BR	3EB_BR	Bruddform	B	0	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	DE	3EB_DE	Dalende	B	11	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	DK	3EB_DK	Dalklype	B	9	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	FD	3EB_FD	Fjorddal	B	15	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	HD	3EB_HD	Hengende dal	B	12	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	MB	3EB_MB	Marint basseng	B	16	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	PF	3EB_PF	P-form (plastisk form)	B	-2	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	RS	3EB_RS	Rundsva	B	1	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	SS	3EB_SS	Skuringsstripe	B	0	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	TI	3EB_TI	Tind	B	12	Trinn
3	Landform	EB	Erosjonsformer knyttet til breer	UD	3EB_UD	U-dal	B	14	Trinn
