col_0;col_1;Nivå 1 kode;col_3;Nivå 2 kode;col_5;Nivå 3 kode;Nivå2_kode;Navn;Trinn;Sammensatt_kode;Verdi;Type;RS;Nivå 2 kode ny;Tags
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;X;;;5AB_X;;;5AB_X;ikke registerert;;;5AB_X;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier;0;Arealbrukskategorier - kategorisert;DO;5AB-AB-0;Driftsområder;;5AB-AB-0_DO;Til stede;;;5AB-0-DO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier;0;Arealbrukskategorier - kategorisert;FO;5AB-AB-0;Fritidsområder;;5AB-AB-0_FO;Til stede;;;5AB-0-FO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier;0;Arealbrukskategorier - kategorisert;KO;5AB-AB-0;Kulturområder;;5AB-AB-0_KO;Til stede;;;5AB-0-KO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier;0;Arealbrukskategorier - kategorisert;TO;5AB-AB-0;Transportområder;;5AB-AB-0_TO;Til stede;;;5AB-0-TO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;FY;5AB-DO-FY;Fyllplass;0;5AB-DO-FY_0;ikke registerert;B;6;5AB-DO-FY;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;FY;5AB-DO-FY;Fyllplass;1;5AB-DO-FY_1;ikke registerert;B;6;5AB-DO-FY;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;GR;5AB-DO-GR;Grustak;0;5AB-DO-GR_0;ikke registerert;B;5;5AB-DO-GR;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;GR;5AB-DO-GR;Grustak;1;5AB-DO-GR_1;Til stede;B;5;5AB-DO-GR;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;GU;5AB-DO-GU;Gruve;0;5AB-DO-GU_0;Ikke til stede;B;4;5AB-DO-GU;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;GU;5AB-DO-GU;Gruve;1;5AB-DO-GU_1;Til stede;B;4;5AB-DO-GU;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;IO;5AB-DO-IO;Industriområde;0;5AB-DO-IO_0;Ikke til stede;B;8;5AB-DO-IO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;IO;5AB-DO-IO;Industriområde;1;5AB-DO-IO_1;Til stede;B;8;5AB-DO-IO;Trinn
5;Menneskeskapte objekter;AB;Arealbrukskategorier ;DO;Driftsområder;LT;5AB-DO-LT;Leirtak;0;5AB-DO-LT_0;Ikke til stede;B;3;5AB-DO-LT;Trinn
