Besys	Nivå 1 kode	col_2	col_3	Nivå 2 beskrivelse	Trinn	Sammensatt_kode	Verdi	Type	RS	Nivå 2 kode ny	Tags	Nivå 2 tags
4	DG	Stående død ved (gadder)	0	Totalantall stående døde trær	0	4DG-0_0	0 per daa	T4/daa	4	4DG-0	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	M-0	Middels dimensjon (10–30 cm) - Alle treslag	0	4DG-M-0_0	0 per daa	T4/daa	4	4DG-M-0	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	M-B	Middels dimensjon (10–30 cm) - Bartrær	0	4DG-M-B_0	0 per daa	T4/daa	4	4DG-M-B	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	M-L	Middels dimensjon (10–30 cm) - Lauvtrær	0	4DG-M-L_0	0 per daa	T4/daa	4	4DG-M-L	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	S-0	Stor dimensjon (> 30 cm) - Alle treslag	0	4DG-S-0_0	0 per daa	T4/daa	4	4DG-S-0	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	S-B	Stor dimensjon (> 30 cm) - Bartrær	0	4DG-S-B_0	0 per daa	T4/daa	4	4DG-S-B	Trinn	Kilde til variasjon
4	DG	Stående død ved (gadder)	S-L	Stor dimensjon (> 30 cm) - Lauvtrær	0	4DG-S-L_0	0 per daa	T4/daa	4	4DG-S-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	0	Totalantall liggende dødvedenheter	0	4DL-0_0	0 per daa	T4/daa	4	4DL-0	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	0-B	Totalantall liggende dødvedenheter - Bartrær	0	4DL-0-B_0	0 per daa	T4/daa	4	4DL-0-B	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	0-L	Totalantall liggende dødvedenheter - Lauvtrær	0	4DL-0-L_0	0 per daa	T4/daa	4	4DL-0-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	L	Stor dimensjon (> 30 cm) - Totalantall lite nedbrutte dødvedenheter	0	4DL-L_0	0 per daa	T4/daa	4	4DL-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	ML-0	Middels dimensjon (10–30 cm), lite nedbrutt - Alle treslag	0	4DL-ML-0_0	0 per daa	T4/daa	4	4DL-ML-0	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	ML-B	Middels dimensjon (10–30 cm), lite nedbrutt - Bartrær	0	4DL-ML-B_0	0 per daa	T4/daa	4	4DL-ML-B	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	ML-L	Middels dimensjon (10–30 cm), lite nedbrutt - Lauvtrær	0	4DL-ML-L_0	0 per daa	T4/daa	4	4DL-ML-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	MS-0	Middels dimensjon (10–30 cm), sterkt nedbrutt  - Alle treslag	0	4DL-MS-0_0	0 per daa	T4/daa	4	4DL-MS-0	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	MS-B	Middels dimensjon (10–30 cm), sterkt nedbrutt  - Bartrær	0	4DL-MS-B_0	0 per daa	T4/daa	4	4DL-MS-B	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	MS-L	Middels dimensjon (10–30 cm), sterkt nedbrutt  - Lauvtrær	0	4DL-MS-L_0	0 per daa	T4/daa	4	4DL-MS-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	S	Stor dimensjon (> 30 cm) - Totalantall sterkt nedbrutte dødvedenheter	0	4DL-S_0	0 per daa	T4/daa	4	4DL-S	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	SL-0	Stor dimensjon (> 30 cm), lite nedbrutt  - Alle treslag	0	4DL-SL-0_0	0 per daa	T4/daa	4	4DL-SL-0	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	SL-B	Stor dimensjon (> 30 cm), lite nedbrutt  - Bartrær	0	4DL-SL-B_0	0 per daa	T4/daa	4	4DL-SL-B	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	SL-L	Stor dimensjon (> 30 cm), lite nedbrutt  - Lauvtrær	0	4DL-SL-L_0	0 per daa	T4/daa	4	4DL-SL-L	Trinn	Kilde til variasjon
4	DL	Liggende død ved (læger)	SS-0	Stor dimensjon (> 30 cm), sterkt nedbrutt  - Alle treslag	0	4DL-SS-0_0	0 per daa	T4/daa	4	4DL-SS-0	Trinn	Kilde til variasjon
