Nivå;Hovedtype-kode;Hovedtype_Navn;Kode;Sammensatt_kode;Navn_Kartleggingsenheter 1:20 000 for terrestre systemer;Grunntypenr;Grunntype_koder
NA;T1;Nakent berg;;NA T1;;;
NA;T1;;T1-E-1 ;NA T1-E-1 ;svært kalkfattige til svakt intermediære nakne berg;1,2,3,4,5,6,7,8,25,26,21,22,23,24,33,34,35,36,41,42,43,44,45,46,47,48,61,62,63,64,69,70,71,72,77,79,83,84;T1-1,T1-2,T1-3,T1-4,T1-5,T1-6,T1-7,T1-8,T1-25,T1-26,T1-21,T1-22,T1-23,T1-24,T1-33,T1-34,T1-35,T1-36,T1-41,T1-42,T1-43,T1-44,T1-45,T1-46,T1-47,T1-42,T1-43,T1-44,T1-45,T1-46,T1-47,T1-46,T1-48,T1-61,T1-62,T1-63,T1-64,T1-69,T1-70,T1-71,T1-72,T1-77,T1-79,T1-83,T1-84
NA;T1;;T1-E-2;NA T1-E-2;sterkt intermediære til ekstremt kalkrike nakne berg;9,10,11,12,13,14,15,16,17,18,19,20,27,28,29,30,31,32,37,38,39,40,49,50,51,52,53,54,55,56,57,58,59,60,65,66,67,68,73,74,75,76,78,80,81,82,85;T1-9,T1-10,T1-11,T1-12,T1-13,T1-14,T1-15,T1-16,T1-17,T1-18,T1-19,T1-20,T1-27,T1-28,T1-29,T1-30,T1-31,T1-32,T1-37,T1-38,T1-39,T1-40,T1-49,T1-50,T1-51,T1-38,T1-39,T1-40,T1-49,T1-50,T1-51,T1-50,T1-52,T1-53,T1-54,T1-55,T1-56,T1-57,T1-58,T1-59,T1-60,T1-65,T1-66,T1-67,T1-68,T1-73,T1-74,T1-75,T1-76,T1-78,T1-80,T1-81,T1-82,T1-85
NA;T2;Åpen grunnlendt mark;;NA T2;;;
NA;T2;;T2-E-1;NA T2-E-1;åpne og kalkfattige grunnlendte marker;1,2;T2-1,T2-2
NA;T2;;T2-E-2;NA T2-E-2;åpne intermediære grunnlendte marker;3,4;T2-3,T2-4
NA;T2;;T2-E-3;NA T2-E-3;åpne svakt kalkrike grunnlendte marker;5,6;T2-5,T2-6
NA;T2;;T2-E-4;NA T2-E-4;åpne kalkrike grunnlente marker;7,8;T2-7,T2-8
NA;T3;Fjellhei, leside og tundra;;NA T3;;;
NA;T3;;T3-E-1;NA T3-E-1;kalkfattig leside;1;T3-1
NA;T3;;T3-E-2;NA T3-E-2;intermediær leside;4;T3-4
NA;T3;;T3-E-3;NA T3-E-3;kalkrike lesider og intermediære og kalkrike kildevannspåvirkede fjell-lavheier;7,10,13,14;T3-7,T3-10,T3-13,T3-14
NA;T3;;T3-E-4;NA T3-E-4;kalkfattige fjell-lyng- og lavheier;2,3;T3-2,T3-3
NA;T3;;T3-E-5;NA T3-E-5;intermediære fjell-lyng- og lavheier;5,6;T3-5,T3-6
NA;T3;;T3-E-6;NA T3-E-6;svakt kalkrike fjell-lyng- og lavheier;8,9;T3-8,T3-9
NA;T3;;T3-E-7;NA T3-E-7;svært kalkrike fjell-lyng- og lavheier;11,12;T3-11,T3-12
NA;T4;Skogsmark;;NA T4;;;
NA;T4;;T4-E-1;NA T4-E-1;blåbær- og bærlyngskoger;1,5;T4-1,T4-5
NA;T4;;T4-E-2;NA T4-E-2;svake lågurt- og storbregneskoger;2,6,17;T4-2,T4-6,T4-17
NA;T4;;T4-E-3;NA T4-E-3;lite tørkeutsatte lågurt- og bærlyng- lågurtskoger;3,4,7,8,18,19;T4-3,T4-4,T4-7,T4-8,T4-18,T4-19
NA;T4;;T4-E-4;NA T4-E-4;lav- og lyngskoger;9,13;T4-9,T4-13
NA;T4;;T4-E-5;NA T4-E-5;tørkeutsatte svake lågurtskoger;10,14;T4-10,T4-14
NA;T4;;T4-E-6;NA T4-E-6;tørkeutsatte lågurtskoger;11,12,15,16,20;T4-11,T4-12,T4-15,T4-16,T4-20
NA;T5;Grotte og overheng;;NA T5;;;
NA;T5;;T5-E-1;NA T5-E-1;kalkfattige til svakt kalkrike grotter og overheng;1,2,4,8,9;T5-1,T5-2,T5-4,T5-8,T5-9
NA;T5;;T5-E-2;NA T5-E-2;sterkt kalkrike grotter og overheng;3,5,10;T5-3,T5-5,T5-10
NA;T5;;T5-E-3;NA T5-E-3;mindre kalkrikt grottedyp;6;T5-6
NA;T5;;T5-E-4;NA T5-E-4;indre del av dyp karstgrotte;7;T5-7
NA;T6;Strandberg;;NA T6;;;
NA;T6;;T6-E-1;NA T6-E-1;kalkfattige strandberg;1,2,3,5,6,7;T6-1,T6-2,T6-3,T6-5,T6-6,T6-7
NA;T6;;T6-E-2;NA T6-E-2;kalkrik bergknaus i bølgesprutsonen;4;T6-4
NA;T7;Snøleie;;NA T7;;;
NA;T7;;T7-E-1;NA T7-E-1;svært kalkfattig moderat snøleie;1;T7-1
NA;T7;;T7-E-2;NA T7-E-2;svakt kalkfattige og intermediære moderate og seine snøleier;2,3,4,12;T7-2,T7-3,T7-4,T7-12
NA;T7;;T7-E-3;NA T7-E-3;intermediært ekstremsnøleie;5;T7-5
NA;T7;;T7-E-4;NA T7-E-4;svakt kalkrike moderate og seine snøleier;6,7,13;T7-6,T7-7,T7-13
NA;T7;;T7-E-5;NA T7-E-5;sterkt kalkrike moderate og seine snøleier;8,9,14;T7-8,T7-9,T7-14
NA;T7;;T7-E-6;NA T7-E-6;kalkrikt ekstremsnøleie;10;T7-10
