Nivå	Hovedtype_kode	Hovedtype_navn	Kode	Sammensatt_kode	Navn_Kartleggingsenheter 1:2500 for terrestre systemer	Grunntypenr	Grunntypekoder
NA	T1	Nakent berg		NA T1			
NA	T1		T1-B-1	NA T1-B-1	lite tørkeutsatte svært og temmelig kalkfattige berg, bergvegger og knauser	1,2,21,33,41,42	T1-1,T1-2,T1-21,T1-33,T1-41,T1-42
NA	T1		T1-B-2	NA T1-B-2	tørkeutsatte svært og temmelig kalkfattige berg, bergvegger og knauser	3,4,22,23,34,43,44	T1-3,T1-4,T1-22,T1-23,T1-34,T1-43
NA	T1		T1-B-3	NA T1-B-3	lite tørkeutsatte, litt kalkfattige og svakt intermediæreberg, bergvegger og knauser	5,6,24,35,45,46	T1-5,T1-6,T1-24,T1-35,T1-45,T1-46
NA	T1		T1-B-4	NA T1-B-4	tørkeutsatte litt kalkfattige og svakt intermediære berg, bergvegger og knauser	7,8,25,26,36,47,48	T1-7,T1-8,T1-25,T1-26,T1-36,T1-47
NA	T1		T1-B-5	NA T1-B-5	lite tørkeutsatte sterkt intermediære og litt kalkrike berg, bergvegger og knauser	9,10,27,37,49,50	T1-9,T1-10,T1-27,T1-37,T1-49,T1-50
NA	T1		T1-B-6	NA T1-B-6	tørkeutsatte sterkt intermediære og litt kalkrike berg, bergvegger og knauser	11,12,28,29,38,51,52	T1-11,T1-12,T1-28,T1-29,T1-38,T1-51
NA	T1		T1-B-7	NA T1-B-7	lite tørkeutsatte temmelig til ekstremt kalkrike berg, bergvegger og knauser	13,14,17,18,30,39,53,54,57,58	T1-13,T1-14,T1-17,T1-18,T1-30,T1-39,T1-53,T1-54,T1-57,T1-58
NA	T1		T1-B-8	NA T1-B-8	tørkeutsatte temmelig til ekstremt klakrike berg, bergvegger og knauser	15,16,19,20,31,32,40,55,56,59,60,85	T1-15,T1-16,T1-19,T1-20,T1-31,T1-32,T1-40,T1-55,T1-56,T1-59,T1-60,T1-85
NA	T1		T1-B-9	NA T1-B-9	svært og temmelig kalkfattige flomsone-bergknauser og -vegger 	61,62	T1-61,T1-62
NA	T1		T1-B-10	NA T1-B-10	litt kalkfattige og svakt intermediære flomsone-bergknauser og vegger	63,64	T1-63,T1-64
NA	T1		T1-B-11	NA T1-B-11	sterkt intermediær og litt kalkrik flomsonebergvegg	66	T1-66
NA	T1		T1-B-12	NA T1-B-12	temmelig til ekstremt kalkrike flomsone-bergknauser og -vegger	67,68	T1-67,T1-68
NA	T1		T1-B-13	NA T1-B-13	svært og temmelig kalkfattige fosseberg-knauser og -vegger	69,7	T1-69,T1-70
NA	T1		T1-B-14	NA T1-B-14	litt kalkfattige og svakt intermediære foseeberg-knauser og -vegger	71,72	T1-71,T1-72
NA	T1		T1-B-15	NA T1-B-15	sterkt intermediære og litt kalkrike fosseberg-knauser og -vegger	65,73,74	T1-65,T1-73,T1-74
NA	T1		T1-B-16	NA T1-B-16	temmelig til ekstremt kalkrike fosseberg-knauser og -vegger	75,76	T1-75,T1-76
NA	T1		T1-B-17	NA T1-B-17	svakt intermediært og kalkfattig lite tørkeutsatt berg i pionérfase	77	T1-77
NA	T1		T1-B-18	NA T1-B-18	sterkt intermediært til ekstremt kalkrikt lite tørkeutsatt berg i pionérfase	79	T1-79
NA	T1		T1-B-19	NA T1-B-19	svakt intermediært og kalkfattig tørkeutsatt berg i pionérfase	78	T1-78
NA	T1		T1-B-20	NA T1-B-20	sterkt intermediært til ekstremt kalkrikt tørkeutsatt berg i pionérfase	80	T1-80
NA	T1		T1-B-21	NA T1-B-21	svakt intermediært og kalkfattig forblåst berg	83	T1-83
NA	T1		T1-B-22	NA T1-B-22	sterkt intermediært til ekstremt kalkrikt forblåst berg	84	T1-84
NA	T1		T1-B-23	NA T1-B-23	svakt intermediært og kalkfattig snøleieberg	81	T1-81
NA	T1		T1-B-24	NA T1-B-24	sterkt intermediært til ekstremt kalkrikt snøleieberg	82	T1-82
NA	T2	Åpen grunnlendt mark		NA T2			
NA	T2		T2-B-1	NA T2-B-1	åpen kalkfattig grunnlendt lyngmark	1	T2-1
NA	T2		T2-B-2	NA T2-B-2	åpen kalkfattig grunnlendt lavmark	2	T2-2
NA	T2		T2-B-3	NA T2-B-3	åpen intermediær grunnlendt lyngmark	3	T2-3
NA	T2		T2-B-4	NA T2-B-4	åpen intermediær grunnlendt lavmark	4	T2-4
NA	T2		T2-B-5	NA T2-B-5	åpen svakt kalkrik grunnlendt lyngmark	5	T2-5
NA	T2		T2-B-6	NA T2-B-6	åpen svakt kalkrik grunnlendt lavmark	6	T2-6
NA	T2		T2-B-7	NA T2-B-7	åpen sterkt kalkrik grunnlendt lyngmark	7	T2-7
NA	T2		T2-B-8	NA T2-B-8	åpen sterkt kalkrik grunnlendt lavmark	8	T2-8
NA	T3	Fjellhei, leside og tundra		NA T3			
NA	T3		T3-B-1	NA T3-B-1	kalkfattig leside	1	T3-1
NA	T3		T3-B-2	NA T3-B-2	kalkfattig fjell-lynghei	2	T3-2
NA	T3		T3-B-3	NA T3-B-3	kalkfattig fjell-lavhei	3	T3-3
NA	T3		T3-B-4	NA T3-B-4	intermediær leside	4	T3-4
NA	T3		T3-B-5	NA T3-B-5	intermediær fjell-lynghei	5	T3-5
NA	T3		T3-B-6	NA T3-B-6	intermediær fjell-lavhei	6	T3-6
NA	T3		T3-B-7	NA T3-B-7	svakt kalkrik leside	7	T3-7
NA	T3		T3-B-8	NA T3-B-8	svakt kalkrik fjell-lynghei	8	T3-8
NA	T3		T3-B-9	NA T3-B-9	svakt kalkrik fjell-lavhei	9	T3-9
NA	T3		T3-B-10	NA T3-B-10	sterkt kalkrik leside	10	T3-10
NA	T3		T3-B-11	NA T3-B-11	sterkt kalkrik fjell-lynghei	11	T3-11
NA	T3		T3-B-12	NA T3-B-12	sterkt kalkrik fjell-lavhei	12	T3-12
NA	T3		T3-B-13	NA T3-B-13	intermediær kildepåvirket fjellhei	13	T3-13
NA	T3		T3-B-14	NA T3-B-14	kalkrik kildepåvirket fjellhei	14	T3-14
NA	T4	Skogsmark		NA T4			
NA	T4		T4-B-1	NA T4-B-1	blåbærskog	1	T4-1
NA	T4		T4-B-2	NA T4-B-2	svak lågurtskog	2	T4-2
NA	T4		T4-B-3	NA T4-B-3	lågurtskog	3	T4-3
NA	T4		T4-B-4	NA T4-B-4	kalklågurtskog	4	T4-4
NA	T4		T4-B-5	NA T4-B-5	bærlyngskog	5	T4-5
NA	T4		T4-B-6	NA T4-B-6	svak bærlyng-lågurtskog	6	T4-6
NA	T4		T4-B-7	NA T4-B-7	bærlyng-lågurtskog	7	T4-7
NA	T4		T4-B-8	NA T4-B-8	bærlyng-kalklågurtskog	8	T4-8
NA	T4		T4-B-9	NA T4-B-9	lyngskog	9	T4-9
NA	T4		T4-B-10	NA T4-B-10	svak lyng-lågurtskog	10	T4-10
NA	T4		T4-B-11	NA T4-B-11	lyng-lågurtskog	11	T4-11
NA	T4		T4-B-12	NA T4-B-12	lyng-kalklågurtskog	12	T4-12
NA	T4		T4-B-13	NA T4-B-13	lavskog	13	T4-13
NA	T4		T4-B-14	NA T4-B-14	svak lav-lågurtskog	14	T4-14
NA	T4		T4-B-15	NA T4-B-15	lav-lågurtskog	15	T4-15
NA	T4		T4-B-16	NA T4-B-16	lav-kalklågurtskog	16	T4-16
NA	T4		T4-B-17	NA T4-B-17	storbregneskog	17	T4-17
NA	T4		T4-B-18	NA T4-B-18	høgstaudeskog	18	T4-18
NA	T4		T4-B-19	NA T4-B-19	litt tørkeutsatt høgstaudeskog	19	T4-19
NA	T4		T4-B-20	NA T4-B-20	tørkeutsatt høgstaudeskog	20	T4-20
NA	T5	Grotte og overheng		NA T5			
NA	T5		T5-B-1	NA T5-B-1	Kalkfattig overheng	1	T5-1
NA	T5		T5-B-2	NA T5-B-2	intermediært og svakt kalkrikt overheng	2	T5-2
NA	T5		T5-B-3	NA T5-B-3	sterkt kalkrikt overheng	3	T5-3
NA	T5		T5-B-4	NA T5-B-4	mindre kalkrik grotte	4	T5-4
NA	T5		T5-B-5	NA T5-B-5	karstgrotte og overheng	5	T5-5
NA	T5		T5-B-6 	NA T5-B-6 	mindre kalkrikt grottedyp	6	T5-6
NA	T5		T5-B-7	NA T5-B-7	indre del av dyp kartsgrotte	7	T5-7
NA	T5		T5-B-8	NA T5-B-8	tørt kalkfattig overheng	8	T5-8
NA	T5		T5-B-9	NA T5-B-9	tørt intermediært og svakt kalkrikt overheng	9	T5-9
NA	T5		T5-B-10	NA T5-B-10	tørt sterkt kalkrikt overheng	10	T5-10
NA	T6	Strandberg		NA T6			
NA	T6		T6-B-1	NA T6-B-1	kalkfattige og intermediært beskyttende strandberg	1,2,3,6,7	T6-1,T6-2,T6-3,T6-6,T6-7
NA	T6		T6-B-2	NA T6-B-2	kalkrik bergknaus i bølgesprutsonen	4	T6-4
