Nivå	Hovedtype_kode	Hovedtype_Navn	Kode	Sammensatt_kode	Navn_Kartleggingsenheter 1:5000 for terrestre systemer	Grunntypenr	Grunntypekoder
NA	M8	Helofytt-saltvannssump		NA M8			
NA	M8		M8-C-1	NA M8-C-1	Helofytt-saltvannssump		
NA	M9	Litoralbasseng-bunn		NA M9			
NA	M9		M9-C-1	NA M9-C-1	Litoralbasseng	1,2,3,4,5,6,7,8,9	M9-1,M9-2,M9-3,M9-4,M9-5,M9-6,M9-7,M9-8,M9-9
NA	L4	Helofytt-ferskvannssump		NA L4			
NA	L4		L4-C-1	NA L4-C-1	Kalkfattig helofyttsump 	1	L4-1
NA	L4		L4-C-2	NA L4-C-2	Litt kalkfattig til intermediær helofyttsump	2	L4-2
NA	L4		L4-C-3	NA L4-C-3	Kalkrik helofyttsump	3	L4-3
NA	T1	Nakent berg					
NA	T1		T1-C-1 	NA T1-C-1 	lite tørkeutsatte svært og temmelig kalkfattige nakne berg 	1,2,21,33,41,42,61,62,69,70	T1-1,T1-2,T1-21,T1-33,T1-41,T1-42,T1-61,T1-62,T1-69,T1-70
NA	T1		T1-C-2	NA T1-C-2	uttørkingseksponerte svært og temmelig kalkfattige berg, bergvegger og knauser	3,4,22,23,34,43,44	T1-3,T1-4,T1-22,T1-23,T1-34,T1-43,T1-44
NA	T1		T1-C-3	NA T1-C-3	lite uttørkingseksponerte litt kalkfattige og svakt intermediære nakne berg 	5,6,24,35,45,46,63,64,71,72	T1-5,T1-6,T1-24,T1-35,T1-45,T1-46,T1-63,T1-64,T1-71,T1-72
NA	T1		T1-C-4	NA T1-C-4	uttørkingseksponerte litt kalkfattige og svakt intermediære berg, bergvegger og knauser	7,8,25,26,36,47,48	T1-7,T1-8,T1-25,T1-26,T1-36,T1-47,T1-48
NA	T1		T1-C-5	NA T1-C-5	lite uttørkingseksponerte sterkt og litt kalkrike intermediære nakne berg 	9,10,27,37,49,50,66,65,73,74	T1-9,T1-10,T1-27,T1-37,T1-49,T1-50,T1-66,T1-65,T1-73,T1-74
NA	T1		T1-C-6	NA T1-C-6	uttørkingseksponerte sterkt intermediære og litt kalkrike berg, bergvegger og knauser 	11,12,28,29,38,51,52	T1-11,T1-12,T1-28,T1-29,T1-38,T1-51,T1-52
NA	T1		T1-C-7	NA T1-C-7	lite uttørkingseksponerte temmelig til ekstremt kalkrike nakne berg 	13,14,17,18,30,39,53,54,57,58,67,68,75,76	T1-13,T1-14,T1-17,T1-18,T1-30,T1-39,T1-53,T1-54,T1-57,T1-58,T1-67,T1-68,T1-75,T1-76
NA	T1		T1-C-8	NA T1-C-8	uttørkingseksponerte temmelig til ekstremt kalkrike berg, bergvegger og knauser 	15,16,19,20,31,32,40,55,56,59,60	T1-15,T1-16,T1-19,T1-20,T1-31,T1-32,T1-40,T1-55,T1-56,T1-59,T1-60
NA	T1		T1-C-9	NA T1-C-9	svakt intermediært og kalkfattig forblåst berg	83	T1-83
NA	T1		T1-C-10	NA T1-C-10	sterkt intermediært til ekstremt kalkrikt forblåst berg	84	T1-84
NA	T1		T1-C-11	NA T1-C-11	svakt intermediært og kalkfattig snøleieberg	81	T1-81
NA	T1		T1-C-12	NA T1-C-12	sterkt intermediært til ekstremt kalkrikt snøleieberg	82	T1-82
NA	T2	Åpen grunnlendt mark		NA T2			
NA	T2		T2-C-1	NA T2-C-1	åpen kalkfattig grunnlendt lyngmark	1	T2-1
NA	T2		T2-C-2	NA T2-C-2	åpen kalkfattig grunnlendt lavmark	2	T2-2
NA	T2		T2-C-3	NA T2-C-3	åpen intermediær grunnlendt lyngmark	3	T2-3
NA	T2		T2-C-4	NA T2-C-4	åpen intermediær grunnlendt lavmark	4	T2-4
NA	T2		T2-C-5	NA T2-C-5	åpen svakt kalkrik grunnlendt lyngmark	5	T2-5
NA	T2		T2-C-6	NA T2-C-6	åpen svakt kalkrik grunnlendt lavmark	6	T2-6
NA	T2		T2-C-7	NA T2-C-7	åpen sterkt kalkrik grunnlendt lyngmark	7	T2-7
NA	T2		T2-C-8	NA T2-C-8	åpen sterkt kalkrik grunnlendt lavmark	8	T2-8
NA	T3	Fjellhei, leside og tundra		NA T3			
NA	T3		T3-C-1	NA T3-C-1	kalkfattig leside	1	T3-1
NA	T3		T3-C-2	NA T3-C-2	kalkfattig fjell-lynghei	2	T3-2
NA	T3		T3-C-3	NA T3-C-3	kalkfattig fjell-lavhei	3	T3-3
NA	T3		T3-C-4	NA T3-C-4	intermediær leside	4	T3-4
NA	T3		T3-C-5	NA T3-C-5	intermediær fjell-lynghei	5	T3-5
